doi,title,year,journal,ct_label_v2,ct_membership_score_v2,ct_score,ct_negative,citations_rank,openalex_cited_by_count,dimensions_times_cited,altmetric_score,mendeley_reader_count,openalex_top_concepts,label
10.1016/j.chb.2019.106185,Computational thinking education: Issues and challenges,2020,Computers in Human Behavior,core,1.0,3,False,306.0,306.0,272.0,11.4,1113.0,Psychology; Computational thinking; Cognitive science; Computer science; Management science,Computational thinking education: Issues and challenges
10.1016/j.compedu.2019.04.013,Coding as a playground: Promoting positive learning experiences in childhood classrooms,2019,Computers and Education,broad,0.6333333333333333,3,False,303.0,303.0,278.0,7.2,672.0,Computational thinking; Coding (social sciences); Creativity; Curriculum; Early childhood,Coding as a playground: Promoting positive learning experiences in childhood classrooms
10.1016/j.compedu.2014.11.022,Supporting all learners in school-wide computational thinking: A cross-case qualitative analysis,2015,Computers and Education,broad,0.7250000000000001,3,False,302.0,302.0,267.0,1.0,664.0,Computational thinking; Mathematics education; Coaching; Computer science; Qualitative analysis,Supporting all learners in school-wide computational thinking: A cross-case qualitative analysis
10.1145/3137065.3137069,Development of computational thinking skills through unplugged activities in primary school,2017,ACM International Conference Proceeding Series,core,1.0,3,False,281.0,281.0,243.0,14.95,498.0,Computational thinking; Mainstream; Computer science; Mathematics education; The Internet,Development of computational thinking skills through unplugged activities in primary school
10.1080/20004508.2019.1627844,"Development of computational thinking, digital competence and 21st century skills when learning programming in K-9",2020,Education Inquiry,core,1.0,3,False,269.0,269.0,291.0,,1034.0,Computational thinking; Mathematics education; Competence (human resources); Thematic analysis; Curriculum,"Development of computational thinking, digital competence and 21st century skills when learning programming in K-9"
10.1007/s10956-016-9663-z,"Effect of Robotics on Elementary Preservice Teachers’ Self-Efficacy, Science Learning, and Computational Thinking",2017,Journal of Science Education and Technology,core,1.0,3,False,258.0,258.0,228.0,6.75,507.0,Computational thinking; Robotics; Science education; Mathematics education; Artificial intelligence,"Effect of Robotics on Elementary Preservice Teachers’ Self-Efficacy, Science Learning, and Computational Thinking"
10.1007/s10956-016-9628-2,"Using Robotics and Game Design to Enhance Children’s Self-Efficacy, STEM Attitudes, and Computational Thinking Skills",2016,Journal of Science Education and Technology,core,1.0,3,False,253.0,253.0,232.0,2.25,673.0,Computational thinking; Robotics; Artificial intelligence; Context (archaeology); Educational robotics,"Using Robotics and Game Design to Enhance Children’s Self-Efficacy, STEM Attitudes, and Computational Thinking Skills"
10.1016/j.compedu.2020.103832,Computational thinking through unplugged activities in early years of Primary Education,2020,Computers and Education,core,1.0,3,False,246.0,246.0,221.0,19.9,569.0,Inclusion (mineral); Mathematics education; Computational thinking; Domain (mathematical analysis); Code (set theory),Computational thinking through unplugged activities in early years of Primary Education
10.1145/1508865.1508959,Thinking about Computational Thinking,2009,,core,0.8166666666666667,3,False,246.0,246.0,115.0,,154.0,Computational thinking; Computer science; Artificial intelligence,Thinking about Computational Thinking
10.1016/j.ijcci.2018.06.005,Robotics and computational thinking in primary school,2018,International Journal of Child-Computer Interaction,core,1.0,3,False,244.0,244.0,201.0,,520.0,Computational thinking; Robotics; Educational robotics; Artificial intelligence; Mathematics education,Robotics and computational thinking in primary school
10.1016/j.compedu.2017.09.004,Analysis of the relation between computational thinking skills and various variables with the structural equation model,2018,Computers and Education,core,1.0,3,False,234.0,234.0,200.0,,632.0,Structural equation modeling; Computational thinking; Class (philosophy); Mathematics education; Relation (database),Analysis of the relation between computational thinking skills and various variables with the structural equation model
10.1016/j.sbspro.2012.06.938,A serious game for developing computational thinking and learning introductory computer programming,2012,CYPRUS INTERNATIONAL CONFERENCE ON EDUCATIONAL RESEARCH (CY-ICER-2012),core,1.0,3,False,233.0,233.0,196.0,,504.0,Computational thinking; Computer science; Usability; Set (abstract data type); Mathematics education,A serious game for developing computational thinking and learning introductory computer programming
10.1145/3545945.3569823,Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,2023,"PROCEEDINGS OF THE 54TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION, VOL 1, SIGCSE 2023",core,0.8500000000000001,2,False,227.0,227.0,287.0,,224.0,Computer science; Code (set theory); Natural (archaeology); Software engineering; Natural language understanding,Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language
10.1186/s41239-017-0080-z,Computational thinking development through creative programming in higher education,2017,International Journal of Educational Technology in Higher Education,broad,0.5416666666666667,3,False,226.0,226.0,201.0,28.9,627.0,Computational thinking; Creative problem-solving; Computer science; Context (archaeology); Mathematics education,Computational thinking development through creative programming in higher education
10.1016/j.compedu.2018.10.005,Learning to code or coding to learn? A systematic review,2019,COMPUTERS & EDUCATION,broad,0.5416666666666667,3,False,224.0,224.0,201.0,5.85,565.0,Coding (social sciences); Curriculum; Thematic analysis; Computer science; Mathematics education,Learning to code or coding to learn? A systematic review
10.1016/j.chb.2017.12.005,Exploring the computational thinking effects in pre-university education,2018,Computers in Human Behavior,core,1.0,3,False,222.0,222.0,186.0,7.5,671.0,Computational thinking; Coding (social sciences); Toolbox; Computer science; Critical thinking,Exploring the computational thinking effects in pre-university education
10.1145/1539024.1508959,Thinking about computational thinking,2009,SIGCSE Bulletin Inroads,core,0.8166666666666667,3,False,211.0,211.0,,1.0,347.0,Computational thinking; Computer science; Mathematics education; Curriculum; Formative assessment,Thinking about computational thinking
10.1016/j.compedu.2020.104023,The effectiveness of partial pair programming on elementary school students’ Computational Thinking skills and self-efficacy,2021,Computers and Education,core,1.0,3,False,209.0,209.0,189.0,5.35,542.0,Mathematics education; Computational thinking; Computer science; Self-efficacy; Psychology,The effectiveness of partial pair programming on elementary school students’ Computational Thinking skills and self-efficacy
10.1007/s40692-019-00147-3,Coding as another language: a pedagogical approach for teaching computer science in early childhood,2019,Journal of Computers in Education,broad,0.5416666666666667,3,False,203.0,203.0,179.0,6.85,381.0,Computational thinking; Coding (social sciences); Curriculum; Computer science; Mathematics education,Coding as another language: a pedagogical approach for teaching computer science in early childhood
10.4018/ijgbl.2011040105,Collaborative strategic board games as a site for distributed computational thinking,2011,International Journal of Game-Based Learning,broad,0.6333333333333333,3,False,201.0,201.0,169.0,33.0,356.0,Computational thinking; Computer science; Context (archaeology); Coding (social sciences); Computational model,Collaborative strategic board games as a site for distributed computational thinking
10.1016/j.procs.2012.04.056,Learning programming at the computational thinking level via digital game-play,2012,Procedia Computer Science,core,1.0,3,False,197.0,197.0,169.0,,467.0,Computer science; Computational thinking; Plan (archaeology); Game based learning; Game design,Learning programming at the computational thinking level via digital game-play
10.1007/s10956-019-09803-w,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education",2020,Journal of Science Education and Technology,core,0.8166666666666667,3,False,187.0,187.0,176.0,3.0,627.0,Discipline; Perspective (graphical); Computational thinking; Context (archaeology); Science education,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mat"
10.1037/edu0000314,The cognitive benefits of learning computer programming: A meta-analysis of transfer effects,2019,Journal of Educational Psychology,broad,0.6666666666666667,2,False,184.0,184.0,160.0,273.8999999999997,398.0,Moderation; Psychology; Metacognition; Creativity; Popularity,The cognitive benefits of learning computer programming: A meta-analysis of transfer effects
10.1007/s11423-019-09708-w,Effects of robotics programming on the computational thinking and creativity of elementary school students,2020,Educational Technology Research and Development,core,0.9083333333333334,3,False,183.0,183.0,182.0,1.25,414.0,Creativity; Computational thinking; Mathematics education; Robot; Robotics,Effects of robotics programming on the computational thinking and creativity of elementary school students
10.1080/10494820.2019.1612448,Computational thinking and mathematics using Scratch: an experiment with sixth-grade students,2020,Interactive Learning Environments,broad,0.7250000000000001,3,False,183.0,183.0,182.0,5.55,587.0,Scratch; Computational thinking; Computer science; Mathematics education; Mathematics,Computational thinking and mathematics using Scratch: an experiment with sixth-grade students
10.1016/j.caeai.2023.100198,ChatGPT effects on cognitive skills of undergraduate students: Receiving instant responses from AI-based conversational large language models (LLMs),2024,Computers and Education: Artificial Intelligence,broad,0.55,0,False,182.0,182.0,215.0,37.45,759.0,Mathematics education; Critical thinking; Psychology; Context (archaeology); Scale (ratio),ChatGPT effects on cognitive skills of undergraduate students: Receiving instant responses from AI-based conversational large language model
10.1186/s40594-020-00238-z,Fostering computational thinking through educational robotics: a model for creative computational problem solving,2020,International Journal of STEM Education,core,1.0,3,False,182.0,182.0,181.0,9.5,484.0,Computational thinking; Robotics; Educational robotics; Computer science; Interface (matter),Fostering computational thinking through educational robotics: a model for creative computational problem solving
10.1007/978-3-319-52691-1_13,Computational Thinking in Teacher Education,2017,"EMERGING RESEARCH, PRACTICE, AND POLICY ON COMPUTATIONAL THINKING",core,0.9083333333333334,3,False,179.0,179.0,165.0,9.0,412.0,Computational thinking; Mathematics education; Set (abstract data type); Context (archaeology); Inclusion (mineral),Computational Thinking in Teacher Education
10.1007/s11191-021-00202-5,"Computational Thinking, Between Papert and Wing",2021,Science and Education,broad,0.5416666666666667,3,False,175.0,175.0,174.0,14.05,507.0,Context (archaeology); Computational thinking; Theme (computing); Strict constructionism; Mathematics education,"Computational Thinking, Between Papert and Wing"
10.1007/s11251-017-9421-5,The effects of computer programming on high school students’ reasoning skills and mathematical self-efficacy and problem solving,2017,Instructional Science,broad,0.575,2,False,175.0,175.0,139.0,28.45,410.0,Mathematics education; Educational psychology; Self-efficacy; Significant difference; Control (management),The effects of computer programming on high school students’ reasoning skills and mathematical self-efficacy and problem solving
10.1007/s10956-015-9552-x,Comparing Virtual and Physical Robotics Environments for Supporting Complex Systems and Computational Thinking,2015,Journal of Science Education and Technology,core,1.0,3,False,175.0,175.0,161.0,2.25,355.0,Computational thinking; Robotics; Perspective (graphical); Artificial intelligence; Computer science,Comparing Virtual and Physical Robotics Environments for Supporting Complex Systems and Computational Thinking
10.1007/s11528-018-0292-7,Developing Computational Thinking with Educational Technologies for Young Learners,2018,TechTrends,broad,0.5416666666666667,3,False,172.0,172.0,146.0,12.2,418.0,Computational thinking; Educational technology; Computer science; Selection (genetic algorithm); Mathematics education,Developing Computational Thinking with Educational Technologies for Young Learners
10.1016/j.compedu.2021.104222,Learning to code and the acquisition of computational thinking by young children,2021,Computers and Education,core,1.0,3,False,168.0,168.0,153.0,2.0,496.0,Curriculum; Computational thinking; Coding (social sciences); Mathematics education; Psychology,Learning to code and the acquisition of computational thinking by young children
10.1007/s40299-019-00478-w,Designing Unplugged and Plugged Activities to Cultivate Computational Thinking: An Exploratory Study in Early Childhood Education,2020,Asia-Pacific Education Researcher,core,0.9083333333333334,3,False,167.0,167.0,161.0,1.85,414.0,Exploratory research; Mathematics education; Cognition; Psychology; Computational thinking,Designing Unplugged and Plugged Activities to Cultivate Computational Thinking: An Exploratory Study in Early Childhood Education
10.2478/jdis-2021-0001,"A Scientometric Study of Digital Literacy, ICT Literacy, Information Literacy, and Media Literacy",2021,Journal of Data and Information Science,broad,0.6666666666666667,2,False,166.0,166.0,156.0,1.0,1295.0,Information literacy; Literacy; Information and Communications Technology; Digital literacy; Critical literacy,"A Scientometric Study of Digital Literacy, ICT Literacy, Information Literacy, and Media Literacy"
10.4324/9781315398945,Coding as a playground: Programming and computational thinking in the early childhood classroom,2017,,broad,0.5416666666666667,3,False,166.0,166.0,165.0,94.35000000000002,82.0,Coding (social sciences); Computer science; Psychology; Sociology; Social science,Coding as a playground: Programming and computational thinking in the early childhood classroom
10.1145/2700517,Scalable game design: A strategy to bring systemic computer science education to schools through game design and simulation creation,2015,ACM Transactions on Computing Education,core,1.0,3,False,166.0,166.0,155.0,4.0,386.0,Computational thinking; Curriculum; Mathematics education; Computer science; 21st century skills,Scalable game design: A strategy to bring systemic computer science education to schools through game design and simulation creation
10.1007/s10639-018-9729-z,Exploring the potentials of educational robotics in the development of computational thinking: A summary of current research and practical proposal for future work,2018,Education and Information Technologies,core,0.9083333333333334,3,False,163.0,163.0,151.0,,419.0,Robotics; Educational robotics; Artificial intelligence; Computational thinking; Argument (complex analysis),Exploring the potentials of educational robotics in the development of computational thinking: A summary of current research and practical p
10.1111/bjet.12355,Computing education in children's early years: A call for debate,2017,British Journal of Educational Technology,core,1.0,3,False,162.0,162.0,148.0,25.0,364.0,Pace; Curriculum; Logo (programming language); Computational thinking; Focus (optics),Computing education in children's early years: A call for debate
10.1016/j.lmot.2022.101802,A review of Project-Based Learning (PBL) and Computational Thinking (CT) in teaching and learning,2022,Learning and Motivation,core,1.0,3,False,161.0,161.0,145.0,,767.0,Constructivism (international relations); Problem-based learning; Mathematics education; Project-based learning; Critical thinking,A review of Project-Based Learning (PBL) and Computational Thinking (CT) in teaching and learning
10.1016/j.compedu.2020.103872,"Teacher development in computational thinking: Design and learning outcomes of programming concepts, practices and pedagogy",2020,Computers and Education,broad,0.6333333333333333,3,False,159.0,159.0,153.0,5.35,552.0,Context (archaeology); Computer science; Professional development; Mathematics education; Computational thinking,"Teacher development in computational thinking: Design and learning outcomes of programming concepts, practices and pedagogy"
10.1016/j.chb.2018.11.038,Improving students' understanding of basic programming concepts through visual programming language: The role of self-efficacy,2019,COMPUTERS IN HUMAN BEHAVIOR,broad,0.5416666666666667,3,False,158.0,158.0,135.0,1.0,355.0,Computer science; Mathematics education; Visual programming language; First-generation programming language; Test (biology),Improving students' understanding of basic programming concepts through visual programming language: The role of self-efficacy
10.1007/s10956-020-09831-x,TechCheck: Development and Validation of an Unplugged Assessment of Computational Thinking in Early Childhood Education,2020,Journal of Science Education and Technology,core,0.8166666666666667,3,False,157.0,157.0,160.0,7.3,379.0,Computational thinking; Coding (social sciences); Early childhood education; Early childhood; Science education,TechCheck: Development and Validation of an Unplugged Assessment of Computational Thinking in Early Childhood Education
10.3916/c59-2019-06,Robotics to develop computational thinking in early Childhood Education; Robótica para desarrollar el pensamiento computacional en Educación Infantil,2019,Comunicar,core,1.0,3,False,156.0,156.0,130.0,3.75,486.0,Computational thinking; Robotics; Artificial intelligence; Educational robotics; Debugging,Robotics to develop computational thinking in early Childhood Education; Robótica para desarrollar el pensamiento computacional en Educación
10.1111/jcal.12155,An analysis of young students' thinking when completing basic coding tasks using Scratch Jnr. On the iPad,2016,Journal of Computer Assisted Learning,core,1.0,3,False,156.0,156.0,144.0,2.5,322.0,Computational thinking; Curriculum; Mathematics education; Higher-order thinking; Numeracy,An analysis of young students' thinking when completing basic coding tasks using Scratch Jnr. On the iPad
10.1145/1953163.1953241,Recognizing computational thinking patterns,2011,,broad,0.6333333333333333,3,False,156.0,156.0,101.0,6.0,295.0,Computational thinking; Computer science; Context (archaeology); Variety (cybernetics); Game design,Recognizing computational thinking patterns
10.1145/2818314.2818328,A pilot computer science and programming course for primary school students,2015,ACM International Conference Proceeding Series,core,1.0,3,False,154.0,154.0,98.0,11.7,172.0,Computational thinking; Presentation (obstetrics); Computer science; Curriculum; Mathematics education,A pilot computer science and programming course for primary school students
10.1109/access.2020.3042555,"Educational Robotics: Platforms, Competitions and Expected Learning Outcomes",2020,IEEE ACCESS,broad,0.6333333333333333,3,False,153.0,153.0,136.0,,235.0,Artificial intelligence; Robotics; Computer science; Educational robotics; Categorization,"Educational Robotics: Platforms, Competitions and Expected Learning Outcomes"
10.1177/1046878119901286,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research,2020,Simulation and Gaming,broad,0.5416666666666667,3,False,153.0,153.0,132.0,35.4,412.0,Mainstream; Entertainment; Emergent gameplay; Game mechanics; Informal learning,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research
10.1016/j.chb.2019.01.008,Exploring children's learning experience in constructionism-based coding activities through design-based research,2019,Computers in Human Behavior,broad,0.6666666666666667,2,False,151.0,151.0,136.0,5.2,554.0,Constructionism; Coding (social sciences); Psychology; Artifact (error); Cognition,Exploring children's learning experience in constructionism-based coding activities through design-based research
10.15388/infedu.2020.14,Teaching Machine Learning in School: A Systematic Mapping of the State of the Art,2020,INFORMATICS IN EDUCATION,broad,0.5416666666666667,3,False,150.0,150.0,127.0,,240.0,Computer science; Mathematics education; State (computer science); Educational technology; Teaching method,Teaching Machine Learning in School: A Systematic Mapping of the State of the Art
10.1007/s11257-017-9187-0,Learner modeling for adaptive scaffolding in a Computational Thinking-based science learning environment,2017,User Modeling and User-Adapted Interaction,broad,0.7250000000000001,3,False,150.0,150.0,142.0,5.35,376.0,Computer science; Computational thinking; Learning environment; Task (project management); Scaffold,Learner modeling for adaptive scaffolding in a Computational Thinking-based science learning environment
10.1007/s11528-016-0098-4,Computational Thinking and Media & Information Literacy: An Integrated Approach to Teaching Twenty-First Century Skills,2016,TechTrends,broad,0.5416666666666667,3,False,148.0,148.0,154.0,12.7,532.0,Computational thinking; Media literacy; Mathematics education; Educational technology; Information literacy,Computational Thinking and Media & Information Literacy: An Integrated Approach to Teaching Twenty-First Century Skills
10.1007/s11528-015-0840-3,Exploring Issues About Computational Thinking in Higher Education,2015,TechTrends,core,0.9083333333333334,3,False,147.0,147.0,117.0,0.5,425.0,Computational thinking; Curriculum; Set (abstract data type); Mathematics education; Field (mathematics),Exploring Issues About Computational Thinking in Higher Education
10.1007/s10758-018-9391-y,"The Effects of Using Different Tools in Programming Teaching of Secondary School Students on Engagement, Computational Thinking and Reflective Thinking Skills for Problem Solving",2020,"Technology, Knowledge and Learning",core,1.0,3,False,146.0,146.0,135.0,3.6,412.0,Scratch; Alice (programming language); Mathematics education; Computational thinking; Critical thinking,"The Effects of Using Different Tools in Programming Teaching of Secondary School Students on Engagement, Computational Thinking and Reflecti"
10.1007/s10956-019-09798-4,Teacher Change Following a Professional Development Experience in Integrating Computational Thinking into Elementary Science,2020,Journal of Science Education and Technology,broad,0.5416666666666667,3,False,146.0,146.0,120.0,2.35,340.0,Science education; Professional development; Mathematics education; Faculty development; Computational thinking,Teacher Change Following a Professional Development Experience in Integrating Computational Thinking into Elementary Science
10.1007/s10758-017-9328-x,Introducing Computational Thinking to Young Learners: Practicing Computational Perspectives Through Embodiment in Mathematics Education,2017,"Technology, Knowledge and Learning",broad,0.6333333333333333,3,False,143.0,143.0,132.0,1.5,551.0,Computational thinking; Mathematics education; Perspective (graphical); Embodied cognition; Set (abstract data type),Introducing Computational Thinking to Young Learners: Practicing Computational Perspectives Through Embodiment in Mathematics Education
10.1145/3104982,Developing computational thinking through a virtual robotics programming curriculum,2017,ACM Transactions on Computing Education,broad,0.6333333333333333,3,False,143.0,143.0,106.0,6.5,298.0,Computational thinking; Robotics; Curriculum; Artificial intelligence; Computer science,Developing computational thinking through a virtual robotics programming curriculum
10.28945/3768,THE impact of user interface on young children's computational thinking,2017,Journal of Information Technology Education: Innovations in Practice,broad,0.6333333333333333,3,False,143.0,143.0,108.0,3.0,183.0,Computational thinking; Affordance; Popularity; Coding (social sciences); Interpersonal communication,THE impact of user interface on young children's computational thinking
10.1016/j.ece.2023.05.001,Exploring the use of large language models (LLMs) in chemical engineering education: Building core course problem models with Chat-GPT,2023,Education for Chemical Engineers,broad,0.6666666666666667,2,False,142.0,142.0,145.0,13.75,366.0,Computer science; Mathematics education; Engineering ethics; Engineering; Psychology,Exploring the use of large language models (LLMs) in chemical engineering education: Building core course problem models with Chat-GPT
10.1007/s11528-019-00410-5,Unplugged Approaches to Computational Thinking: a Historical Perspective,2020,TechTrends,core,1.0,3,False,138.0,138.0,135.0,28.4,354.0,Perspective (graphical); Computational thinking; Educational technology; Computer science; Management science,Unplugged Approaches to Computational Thinking: a Historical Perspective
10.1016/j.chb.2020.106349,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions,2020,Computers in Human Behavior,broad,0.7250000000000001,3,False,137.0,137.0,127.0,1.75,412.0,Computer science; Mathematics education; Instructional design; Psychology,A meta-analysis of teaching and learning computer programming: Effective instructional approaches and conditions
10.1016/j.chb.2023.107903,Artificial intelligence and human behavioral development: A perspective on new skills and competences acquisition for the educational context,2023,Computers in Human Behavior,broad,0.6666666666666667,2,False,136.0,136.0,143.0,1.5,708.0,Creativity; Competence (human resources); 21st century skills; Lifelong learning; Context (archaeology),Artificial intelligence and human behavioral development: A perspective on new skills and competences acquisition for the educational contex
10.1145/2684721.2684736,Integrating computational thinking across the K-8 curriculum,2014,ACM Inroads,broad,0.6333333333333333,3,False,135.0,135.0,111.0,5.0,182.0,Citation; Code (set theory); Library science; Computational thinking; Computer science,Integrating computational thinking across the K-8 curriculum
