source,target,edge_source
10.1103/physrevphyseducres.21.010122,10.1016/j.edurev.2017.09.003,openalex
10.1103/physrevphyseducres.21.010122,10.3102/0013189x12463051,openalex
10.1103/physrevphyseducres.21.010122,10.1145/1118178.1118215,openalex
10.1103/physrevphyseducres.21.010122,10.1007/s10956-015-9552-x,openalex
10.1016/j.caeai.2024.100319,10.1016/j.ijcci.2021.100415,openalex
10.1016/j.caeai.2024.100319,10.1007/s40692-023-00304-9,openalex
10.1186/s40594-024-00510-6,10.1007/978-3-319-52691-1_12,openalex
10.1186/s40594-024-00510-6,10.1145/2670757.2670767,openalex
10.1186/s40594-024-00510-6,10.1145/3287324.3287431,openalex
10.1186/s40594-024-00510-6,10.3102/0013189x12463051,openalex
10.1186/s40594-024-00510-6,10.1016/j.compedu.2014.11.022,openalex
10.1186/s40594-024-00510-6,10.1007/s10956-019-09798-4,openalex
10.1186/s40594-024-00510-6,10.1016/j.compedu.2022.104707,openalex
10.1186/s40594-024-00510-6,10.1016/j.compedu.2020.103872,openalex
10.1186/s40594-024-00510-6,10.1007/s41979-023-00100-1,openalex
10.1186/s40594-024-00510-6,10.1007/s10956-019-09803-w,openalex
10.1186/s40594-024-00510-6,10.1007/s10956-016-9628-2,openalex
10.1186/s40594-024-00510-6,10.1007/s11191-021-00202-5,openalex
10.1186/s40594-024-00510-6,10.1007/s41979-022-00077-3,openalex
10.1186/s40594-024-00510-6,10.1016/j.chb.2014.09.012,openalex
10.1186/s40594-024-00510-6,10.1145/2839509.2844585,openalex
10.1186/s40594-024-00510-6,10.1007/s10639-022-11342-8,openalex
10.1186/s40594-024-00510-6,10.1145/3159450.3159520,openalex
10.1186/s40594-024-00510-6,10.1002/tea.21834,openalex
10.1186/s40594-024-00510-6,10.1016/j.compedu.2021.104196,openalex
10.1186/s40594-024-00510-6,10.1037/edu0000314,openalex
10.1186/s40594-024-00510-6,10.1007/978-3-319-93566-9_4,openalex
10.1186/s40594-024-00510-6,10.1016/j.edurev.2017.09.003,openalex
10.1186/s40594-024-00510-6,10.1145/3287324.3287456,openalex
10.1186/s40594-024-00510-6,10.1177/0735633117743918,openalex
10.1186/s40594-024-00510-6,10.1007/s10956-015-9581-5,openalex
10.1186/s40594-024-00510-6,10.1145/1118178.1118215,openalex
10.1186/s40594-024-00498-z,10.1016/j.ijcci.2021.100329,openalex
10.1186/s40594-024-00498-z,10.3389/fpsyg.2019.02713,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-015-9552-x,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2013.10.020,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-019-09805-8,openalex
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101224,openalex
10.1186/s40594-024-00498-z,10.1186/s40594-023-00434-7,openalex
10.1186/s40594-024-00498-z,10.1177/07356331221114183,openalex
10.1186/s40594-024-00498-z,10.29333/ejmste/10789,openalex
10.1186/s40594-024-00498-z,10.1177/07356331211033158,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12155,openalex
10.1186/s40594-024-00498-z,10.1007/s10798-019-09559-9,openalex
10.1186/s40594-024-00498-z,10.3102/0013189x12463051,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12591,openalex
10.1186/s40594-024-00498-z,10.1016/j.chb.2017.01.005,openalex
10.1186/s40594-024-00498-z,10.1111/bjet.13157,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12845,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-019-09803-w,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-019-09802-x,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-016-9628-2,openalex
10.1186/s40594-024-00498-z,10.1080/15391523.2021.1962453,openalex
10.1186/s40594-024-00498-z,10.1007/s12528-021-09305-y,openalex
10.1186/s40594-024-00498-z,10.1007/s11423-021-10016-5,openalex
10.1186/s40594-024-00498-z,10.1177/07356331221133822,openalex
10.1186/s40594-024-00498-z,10.1080/15391523.2020.1870250,openalex
10.1186/s40594-024-00498-z,10.1007/s11858-023-01509-z,openalex
10.1186/s40594-024-00498-z,10.1080/20004508.2019.1627844,openalex
10.1186/s40594-024-00498-z,10.1016/j.chbr.2021.100166,openalex
10.1186/s40594-024-00498-z,10.1111/bjet.13092,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2018.10.005,openalex
10.1186/s40594-024-00498-z,10.1080/10494820.2019.1612448,openalex
10.1186/s40594-024-00498-z,10.1016/j.chb.2016.08.047,openalex
10.1186/s40594-024-00498-z,10.1037/edu0000314,openalex
10.1186/s40594-024-00498-z,10.1016/j.chb.2020.106349,openalex
10.1186/s40594-024-00498-z,10.1016/j.edurev.2017.09.003,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12545,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12750,openalex
10.1186/s40594-024-00498-z,10.1007/s10758-017-9328-x,openalex
10.1186/s40594-024-00498-z,10.1080/15391523.2020.1784066,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2019.103798,openalex
10.1186/s40594-024-00498-z,10.1007/s10639-021-10617-w,openalex
10.1186/s40594-024-00498-z,10.1177/0735633120972356,openalex
10.1186/s40594-024-00498-z,10.1177/07356331211017794,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2021.104425,openalex
10.1186/s40594-024-00498-z,10.1007/s11423-022-10093-0,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-019-09801-y,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-015-9581-5,openalex
10.1186/s40594-024-00498-z,10.1145/1118178.1118215,openalex
10.1186/s40594-024-00498-z,10.1098/rsta.2008.0118,openalex
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101193,openalex
10.1186/s40594-024-00498-z,10.1016/j.tsc.2022.101041,openalex
10.1186/s40594-024-00498-z,10.1186/s40594-023-00396-w,openalex
10.1186/s40594-024-00498-z,10.1111/jcal.12723,openalex
10.1186/s40594-024-00498-z,10.1007/s10956-019-09794-8,openalex
10.1186/s40594-024-00498-z,10.1177/0735633120978530,openalex
10.1186/s40594-024-00498-z,10.1177/07356331211057143,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2019.103607,openalex
10.1186/s40594-024-00498-z,10.1016/j.compedu.2022.104445,openalex
10.1016/j.learninstruc.2024.101995,10.1177/07356331231178948,openalex
10.1016/j.learninstruc.2024.101995,10.1016/j.edurev.2017.09.003,openalex
10.1016/j.learninstruc.2024.101995,10.1080/10494820.2021.1931891,openalex
10.1186/s40594-024-00495-2,10.1016/j.chb.2017.04.058,openalex
10.1186/s40594-024-00495-2,10.1080/0020739x.2016.1254296,openalex
10.1186/s40594-024-00495-2,10.1016/j.compedu.2013.10.020,openalex
10.1186/s40594-024-00495-2,10.1016/j.tsc.2023.101285,openalex
10.1186/s40594-024-00495-2,10.1016/j.compedu.2017.03.001,openalex
10.1186/s40594-024-00495-2,10.1016/j.sbspro.2014.05.119,openalex
10.1186/s40594-024-00495-2,10.3102/0013189x12463051,openalex
10.1186/s40594-024-00495-2,10.1080/08993408.2015.1033142,openalex
10.1186/s40594-024-00495-2,10.1145/1118178.1118215,openalex
10.1186/s40594-024-00495-2,10.1016/j.chb.2015.05.047,openalex
10.1186/s40594-024-00495-2,10.1007/s10639-023-11671-2,openalex
10.1186/s40594-024-00495-2,10.1016/j.chb.2014.09.012,openalex
10.1186/s40594-024-00495-2,10.1016/j.heliyon.2024.e29177,openalex
10.1186/s40594-024-00495-2,10.1016/j.compedu.2016.03.003,openalex
10.1186/s40594-024-00495-2,10.1007/s10639-015-9412-6,openalex
10.1186/s40594-024-00495-2,10.1098/rsta.2008.0118,openalex
10.1186/s40594-024-00495-2,10.1016/j.compedu.2019.103607,openalex
10.1111/jcal.13040,10.1016/j.compedu.2013.10.020,openalex
10.1111/jcal.13040,10.1111/jcal.12818,openalex
10.1111/jcal.13040,10.1007/s10956-020-09831-x,openalex
10.1111/jcal.13040,10.1145/1118178.1118215,openalex
10.1111/jcal.13040,10.1111/bjet.13215,openalex
10.1007/s40692-023-00300-z,10.1016/j.robot.2015.10.008,openalex
10.1007/s40692-023-00300-z,10.1007/978-3-319-55553-9_5,openalex
10.1007/s40692-023-00300-z,10.1007/978-3-030-02762-9_9,openalex
10.1007/s40692-023-00300-z,10.1007/s10639-021-10700-2,openalex
10.1007/s40692-023-00300-z,10.1007/s10956-015-9552-x,openalex
10.1007/s40692-023-00300-z,10.1007/s10956-019-09799-3,openalex
10.1007/s40692-023-00300-z,10.1109/tetc.2017.2768550,openalex
10.1007/s40692-023-00300-z,10.1016/j.chb.2017.12.005,openalex
10.1007/s40692-023-00300-z,10.3102/0013189x12463051,openalex
10.1007/s40692-023-00300-z,10.1080/08993408.2021.1903248,openalex
10.1007/s40692-023-00300-z,10.1016/j.chb.2020.106575,openalex
10.1007/s40692-023-00300-z,10.1177/0735633120965919,openalex
10.1007/s40692-023-00300-z,10.1145/2967934.2968109,openalex
10.1007/s40692-023-00300-z,10.1145/2839509.2844656,openalex
10.1007/s40692-023-00300-z,10.1177/0735633119887187,openalex
10.1007/s40692-023-00300-z,10.1016/j.chb.2015.05.047,openalex
10.1007/s40692-023-00300-z,10.1016/j.procs.2012.04.056,openalex
10.1007/s40692-023-00300-z,10.1080/08993408.2017.1308651,openalex
10.1007/s40692-023-00300-z,10.1016/j.chb.2014.09.012,openalex
10.1007/s40692-023-00300-z,10.1109/icalt49669.2020.00061,openalex
10.1007/s40692-023-00300-z,10.1109/cog47356.2020.9231881,openalex
10.1007/s40692-023-00300-z,10.3389/feduc.2021.657895,openalex
10.1007/s40692-023-00300-z,10.1016/j.compedu.2021.104222,openalex
10.1007/s40692-023-00300-z,10.1145/3290607.3312871,openalex
10.1007/s40692-023-00300-z,10.1145/3102071.3106352,openalex
10.1007/s40692-023-00300-z,10.1007/s11042-020-09202-z,openalex
10.1007/s40692-023-00300-z,10.1016/j.edurev.2017.09.003,openalex
10.1007/s40692-023-00300-z,10.3991/ijep.v9i2.9942,openalex
10.1007/s40692-023-00300-z,10.1016/j.compedu.2019.103798,openalex
10.1007/s40692-023-00300-z,10.15388/infedu.2020.30,openalex
10.1007/s40692-023-00300-z,10.1109/educon45650.2020.9125087,openalex
10.1007/s40692-023-00300-z,10.1145/1118178.1118215,openalex
10.1007/s40692-023-00300-z,10.1098/rsta.2008.0118,openalex
10.1007/s40692-023-00300-z,10.1007/s10639-022-11181-7,openalex
10.1007/s40692-023-00300-z,10.1016/j.compedu.2019.103633,openalex
10.1177/07356331241248686,10.1108/ijilt-09-2016-0048,openalex
10.1177/07356331241248686,10.6018/red.410121,openalex
10.1177/07356331241248686,10.3102/0013189x12463051,openalex
10.1177/07356331241248686,10.19173/irrodl.v22i4.5474,openalex
10.1177/07356331241248686,10.1016/j.compedu.2022.104657,openalex
10.1177/07356331241248686,10.1007/s11191-022-00392-6,openalex
10.1177/07356331241248686,10.1080/10494820.2019.1580750,openalex
10.1177/07356331241248686,10.1109/access.2020.2977679,openalex
10.1177/07356331241248686,10.3389/fpsyg.2021.640115,openalex
10.1177/07356331241248686,10.1007/s11858-020-01200-7,openalex
10.1177/07356331241248686,10.1016/j.ijcci.2021.100415,openalex
10.1177/07356331241248686,10.1007/s10639-015-9412-6,openalex
10.1177/07356331241248686,10.1007/s10956-015-9581-5,openalex
10.1177/07356331241248686,10.1145/1118178.1118215,openalex
10.1177/07356331241248686,10.1098/rsta.2008.0118,openalex
10.1177/07356331241248686,10.1186/s40594-023-00396-w,openalex
10.1016/j.tsc.2024.101576,10.1016/j.chb.2019.03.018,openalex
10.1016/j.tsc.2024.101576,10.1016/j.compedu.2020.103807,openalex
10.1016/j.tsc.2024.101576,10.3389/fpsyg.2019.02713,openalex
10.1016/j.tsc.2024.101576,10.1016/j.robot.2015.10.008,openalex
10.1016/j.tsc.2024.101576,10.1007/s10639-021-10700-2,openalex
10.1016/j.tsc.2024.101576,10.1016/j.compedu.2013.10.020,openalex
10.1016/j.tsc.2024.101576,10.1016/j.compedu.2019.04.013,openalex
10.1016/j.tsc.2024.101576,10.1007/s10643-021-01236-8,openalex
10.1016/j.tsc.2024.101576,10.3102/0034654317710096,openalex
10.1016/j.tsc.2024.101576,10.1007/s10643-022-01319-0,openalex
10.1016/j.tsc.2024.101576,10.1111/bjet.12355,openalex
10.1016/j.tsc.2024.101576,10.1016/j.ijcci.2023.100566,openalex
10.1016/j.tsc.2024.101576,10.1016/j.ecresq.2023.03.004,openalex
10.1016/j.tsc.2024.101576,10.3390/educsci13090858,openalex
10.1016/j.tsc.2024.101576,10.3916/c59-2019-06,openalex
10.1016/j.tsc.2024.101576,10.1007/s40299-019-00478-w,openalex
10.1016/j.tsc.2024.101576,10.1007/s10639-015-9412-6,openalex
10.1016/j.tsc.2024.101576,10.1145/1118178.1118215,openalex
10.1016/j.tsc.2024.101576,10.1016/j.tsc.2022.101218,openalex
10.1016/j.tsc.2024.101576,10.1016/j.edurev.2023.100520,openalex
10.1016/j.tsc.2024.101576,10.1007/s10639-023-11843-0,openalex
10.1016/j.tsc.2024.101576,10.1007/s11528-023-00841-1,openalex
10.1016/j.tsc.2024.101576,10.1016/j.caeo.2023.100122,openalex
10.1016/j.tsc.2024.101576,10.1098/rsta.2008.0118,openalex
10.1016/j.tsc.2024.101576,10.1007/s12144-021-02085-9,openalex
10.1016/j.tsc.2024.101576,10.1007/s10643-023-01475-x,openalex
10.1177/07356331241236744,10.3389/feduc.2022.757627,openalex
10.1177/07356331241236744,10.1016/j.chb.2019.03.018,openalex
10.1177/07356331241236744,10.3389/fpsyg.2019.02713,openalex
10.1177/07356331241236744,10.1007/s10639-021-10700-2,openalex
10.1177/07356331241236744,10.4018/978-1-7998-7308-2,openalex
10.1177/07356331241236744,10.1007/s40692-019-00147-3,openalex
10.1177/07356331241236744,10.1016/j.compedu.2019.04.013,openalex
10.1177/07356331241236744,10.1177/07356331221114183,openalex
10.1177/07356331241236744,10.3390/informatics6040043,openalex
10.1177/07356331241236744,10.1177/0735633119872908,openalex
10.1177/07356331241236744,10.1109/tlt.2022.3180588,openalex
10.1177/07356331241236744,10.1016/j.compedu.2020.103832,openalex
10.1177/07356331241236744,10.3389/fpsyg.2022.904761,openalex
10.1177/07356331241236744,10.3102/0013189x12463051,openalex
10.1177/07356331241236744,10.1007/s10639-023-12415-y,openalex
10.1177/07356331241236744,10.1111/bjet.13157,openalex
10.1177/07356331241236744,10.1080/21532974.2019.1693940,openalex
10.1177/07356331241236744,10.1016/j.ecresq.2023.05.009,openalex
10.1177/07356331241236744,10.1016/j.elerap.2020.101011,openalex
10.1177/07356331241236744,10.1007/s10639-021-10765-z,openalex
10.1177/07356331241236744,10.1080/15391523.2020.1870250,openalex
10.1177/07356331241236744,10.1016/j.compedu.2023.104961,openalex
10.1177/07356331241236744,10.1007/s40299-019-00438-4,openalex
10.1177/07356331241236744,10.1080/20004508.2019.1627844,openalex
10.1177/07356331241236744,10.1016/j.compedu.2021.104222,openalex
10.1177/07356331241236744,10.1177/10567879221076077,openalex
10.1177/07356331241236744,10.1080/10494820.2021.1931891,openalex
10.1177/07356331241236744,10.1111/jcal.12545,openalex
10.1177/07356331241236744,10.1080/15391523.2020.1784066,openalex
10.1177/07356331241236744,10.1080/10409289.2020.1759012,openalex
10.1177/07356331241236744,10.1145/1118178.1118215,openalex
10.1177/07356331241236744,10.1007/s10639-022-11445-2,openalex
10.1177/07356331241236744,10.1007/s11528-016-0087-7,openalex
10.1177/07356331241236744,10.1002/cae.22609,openalex
10.1177/07356331241236744,10.1111/bjet.13266,openalex
10.1177/07356331241236744,10.1111/bjet.13215,openalex
10.1177/07356331241236744,10.1016/j.tsc.2022.101218,openalex
10.1177/07356331241236744,10.1177/07356331211057143,openalex
10.1111/bjet.13443,10.1007/s11528-019-00461-8,openalex
10.1111/bjet.13443,10.1016/j.robot.2015.10.008,openalex
10.1111/bjet.13443,10.1007/s11257-017-9187-0,openalex
10.1111/bjet.13443,10.1016/j.tsc.2021.100929,openalex
10.1111/bjet.13443,10.1109/access.2019.2924343,openalex
10.1111/bjet.13443,10.1080/08993408.2021.1903248,openalex
10.1111/bjet.13443,10.1109/isecon.2015.7119929,openalex
10.1111/bjet.13443,10.1177/0735633120965919,openalex
10.1111/bjet.13443,10.1145/3337722.3337768,openalex
10.1111/bjet.13443,10.1016/j.sbspro.2012.06.938,openalex
10.1111/bjet.13443,10.3390/educsci11020080,openalex
10.1111/bjet.13443,10.1016/j.elerap.2020.101011,openalex
10.1111/bjet.13443,10.1016/j.chb.2014.09.012,openalex
10.1111/bjet.13443,10.1007/s11423-019-09708-w,openalex
10.1111/bjet.13443,10.1007/s10639-018-9724-4,openalex
10.1111/bjet.13443,10.1111/bjet.13092,openalex
10.1111/bjet.13443,10.1145/3102071.3106352,openalex
10.1111/bjet.13443,10.1016/j.edurev.2017.09.003,openalex
10.1111/bjet.13443,10.1016/j.compedu.2019.103798,openalex
10.1111/bjet.13443,10.1007/s11042-019-7229-9,openalex
10.1111/bjet.13443,10.1007/s10956-015-9581-5,openalex
10.1111/bjet.13443,10.4018/ijgbl.2016010101,openalex
10.1111/bjet.13443,10.1145/1118178.1118215,openalex
10.1111/bjet.13443,10.1007/s10758-021-09565-8,openalex
10.1111/bjet.13443,10.1016/j.compedu.2019.103633,openalex
10.1007/s10639-024-12492-7,10.1016/j.chb.2019.03.018,openalex
10.1007/s10639-024-12492-7,10.1007/s11528-016-0098-4,openalex
10.1007/s10639-024-12492-7,10.1007/s10639-018-9849-5,openalex
10.1007/s10639-024-12492-7,10.1002/tea.21899,openalex
10.1007/s10639-024-12492-7,10.1007/s10956-019-09802-x,openalex
10.1007/s10639-024-12492-7,10.1016/j.compedu.2019.103759,openalex
10.1007/s10639-024-12492-7,10.1007/s10956-020-09831-x,openalex
10.1007/s10639-024-12492-7,10.11591/ijere.v12i2.24232,openalex
10.1007/s10639-024-12492-7,10.1007/s10639-022-10893-0,openalex
10.1007/s10639-024-12492-7,10.1007/s10956-020-09836-6,openalex
10.1007/s10639-024-12492-7,10.1111/jcal.12493,openalex
10.1007/s10639-024-12492-7,10.1007/s10639-021-10617-w,openalex
10.1007/s10639-024-12492-7,10.1145/1118178.1118215,openalex
10.1007/s10639-024-12492-7,10.1111/jcal.12723,openalex
10.1007/s10639-024-12448-x,10.1016/j.chb.2019.106185,openalex
10.1007/s10639-024-12448-x,10.1016/j.chb.2019.03.018,openalex
10.1007/s10639-024-12448-x,10.1007/s11528-019-00461-8,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2020.103807,openalex
10.1007/s10639-024-12448-x,10.1177/07356331211004048,openalex
10.1007/s10639-024-12448-x,10.1111/jcal.12266,openalex
10.1007/s10639-024-12448-x,10.1007/s10956-015-9552-x,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2013.10.020,openalex
10.1007/s10639-024-12448-x,10.3102/0034654317710096,openalex
10.1007/s10639-024-12448-x,10.1007/s10758-018-9391-y,openalex
10.1007/s10639-024-12448-x,10.1177/07356331211033158,openalex
10.1007/s10639-024-12448-x,10.1111/jcal.12155,openalex
10.1007/s10639-024-12448-x,10.1080/08993408.2015.1033142,openalex
10.1007/s10639-024-12448-x,10.1111/jcal.12591,openalex
10.1007/s10639-024-12448-x,10.1007/s11423-021-10021-8,openalex
10.1007/s10639-024-12448-x,10.2190/ec.49.4.b,openalex
10.1007/s10639-024-12448-x,10.1145/3427596,openalex
10.1007/s10639-024-12448-x,10.1111/bjet.13157,openalex
10.1007/s10639-024-12448-x,10.1080/08993408.2017.1308651,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2019.103759,openalex
10.1007/s10639-024-12448-x,10.1145/3494579,openalex
10.1007/s10639-024-12448-x,10.1016/j.chb.2014.09.012,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2018.10.005,openalex
10.1007/s10639-024-12448-x,10.1080/10494820.2019.1612448,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2016.03.003,openalex
10.1007/s10639-024-12448-x,10.1016/j.edurev.2017.09.003,openalex
10.1007/s10639-024-12448-x,10.1177/0735633121992479,openalex
10.1007/s10639-024-12448-x,10.1111/jcal.12493,openalex
10.1007/s10639-024-12448-x,10.1111/jcal.12545,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2022.104457,openalex
10.1007/s10639-024-12448-x,10.1177/0735633117743918,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2021.104425,openalex
10.1007/s10639-024-12448-x,10.1007/s10639-015-9412-6,openalex
10.1007/s10639-024-12448-x,10.1080/10409289.2020.1759012,openalex
10.1007/s10639-024-12448-x,10.1145/1118178.1118215,openalex
10.1007/s10639-024-12448-x,10.1080/10494820.2018.1534245,openalex
10.1007/s10639-024-12448-x,10.1007/s10639-023-11880-9,openalex
10.1007/s10639-024-12448-x,10.1177/0735633120988807,openalex
10.1007/s10639-024-12448-x,10.1016/j.compedu.2019.103607,openalex
10.3390/app14156418,10.1177/07356331211060470,openalex
10.3390/app14156418,10.1016/j.tsc.2023.101369,openalex
10.3390/app14156418,10.1145/1118178.1118215,openalex
10.3390/app14156418,10.1177/0735633120965919,openalex
10.3390/app14156418,10.1016/j.compedu.2023.104794,openalex
