policy_id,title,year,publisher_name,publisher_type_primary,publisher_types,publisher_id,country_code,country_name,state_name,city_name,latitude,longitude,dimensions_url,publisher_linkout,source_query,document_category
policy.700909,Wave 8: Swindon Church of England Secondary School,2015,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.700909,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.700893,Wave 8: North Cestrian School,2015,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.700893,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.691324,Digital Skills for the UK Economy,2016,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.691324,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.684033,Shadbolt review of computer sciences degree accreditation and graduate employability,2016,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.684033,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.674392,Working Group on Education: digital skills for life and work,2017,"United Nations Educational, Scientific and Cultural Organization",Government,Government,grid.15819.34,FR,France,,Paris,48.85009,2.306514,https://app.dimensions.ai/details/policy_documents/policy.674392,https://www.unesco.org,Computational Thinking,policy_document
policy.668059,Independent state school partnerships (ISSP): evaluation,2017,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.668059,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.667045,Proposed national curriculum framework (for England) with draft KS4 science,2014,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.667045,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.664832,Further additional GCSE and A level subject content consultation,2015,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.664832,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.655572,Free digital learning opportunities for migrants and refugees - EU Law and Publications,2017,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.655572,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.612092,Consultation document,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.612092,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.612091,Consultation report changing ICT to computing in the national curriculum,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.612091,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.612086,Consultation on the order for replacing the subject of ICT with computing: government response,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.612086,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.608566,STEM education update,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.608566,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.608234,The national curriculum in England: framework document,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.608234,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.608129,National curriculum in England: computing programmes of study - key stages 3 and 4,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.608129,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.608128,National curriculum in England: computing programmes of study - key stages 1 and 2,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.608128,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.605673,Information economy strategy,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.605673,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.597561,Computer science subject content,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.597561,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.597558,A level subject content consultation,2013,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.597558,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.597554,A level reform: government response,2014,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.597554,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.591418,Draft national curriculum framework document: including key stage 4 English and mathematics,2014,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.591418,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.587521,Work of the Ad Hoc Committees in 2014–15: House of Lords Digital Skills Committee,2017,Parliament of United Kingdom,Government,Government,grid.451251.6,GB,United Kingdom,,London,51.500736,-0.124749,https://app.dimensions.ai/details/policy_documents/policy.587521,http://www.parliament.uk/,Computational Thinking,policy_document
policy.575235,Outcomes High Level Meeting Cyber Security - Rapport - Rijksoverheid.nl,2016,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.575235,https://www.government.nl,Computational Thinking,policy_document
policy.533834,Outcomes High-Level Meeting Cyber Security,2016,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.533834,https://www.government.nl,Computational Thinking,policy_document
policy.533728,Outcomes High Level Meeting Cyber Security,2016,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.533728,https://www.government.nl,Computational Thinking,policy_document
policy.511941,"Smart Industry, Dutch industry fit for the future - Rapport - Rijksoverheid.nl",2014,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.511941,https://www.government.nl,Computational Thinking,policy_document
policy.490845,Global Citizenship Guides,2015,Oxfam,Nonprofit,Nonprofit,grid.437028.a,GB,United Kingdom,,Oxford,51.72956,-1.205466,https://app.dimensions.ai/details/policy_documents/policy.490845,http://www.oxfam.org.uk/,Computational Thinking,policy_document
policy.45449,"ICT in primary education: analytical survey, vol. 3: collective case study of promising practices",2014,"United Nations Educational, Scientific and Cultural Organization",Government,Government,grid.15819.34,FR,France,,Paris,48.85009,2.306514,https://app.dimensions.ai/details/policy_documents/policy.45449,https://www.unesco.org,Computational Thinking,policy_document
policy.45393,"ICT in primary education: analytical survey, vol. 2: policy, practices, and recommendations",2014,"United Nations Educational, Scientific and Cultural Organization",Government,Government,grid.15819.34,FR,France,,Paris,48.85009,2.306514,https://app.dimensions.ai/details/policy_documents/policy.45393,https://www.unesco.org,Computational Thinking,policy_document
policy.435766,"Rapport ""Smart Industry: Dutch Industry fit for the future""",2014,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.435766,https://www.government.nl,Computational Thinking,policy_document
policy.43527,Building and advancing digital skills to support Seattle’s economic future,2015,Brookings Institution,Nonprofit,Nonprofit,grid.282940.5,US,United States,District of Columbia,Washington D.C.,38.90904,-77.04011,https://app.dimensions.ai/details/policy_documents/policy.43527,http://www.brookings.edu/,Computational Thinking,policy_document
policy.4186448,Embracing Australia’s digital futures,2018,Australian Academy of Technological Sciences and Engineering,Nonprofit,Nonprofit,grid.423058.8,AU,Australia,Victoria,Melbourne,-37.83493,144.97382,https://app.dimensions.ai/details/policy_documents/policy.4186448,https://www.atse.org.au/,Computational Thinking,policy_document
policy.4186436,Optimising STEM industry-school partnerships: inspiring Australia’s next generation,2018,Australian Academy of Technological Sciences and Engineering,Nonprofit,Nonprofit,grid.423058.8,AU,Australia,Victoria,Melbourne,-37.83493,144.97382,https://app.dimensions.ai/details/policy_documents/policy.4186436,https://www.atse.org.au/,Computational Thinking,policy_document
policy.4184303,Artificial Intelligence In Bulgarian School Education,2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4184303,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4183922,"Digital Skills, Innovation, and Economic Transformation",2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4183922,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4183900,Pedagogical and Curricular Approaches to Teaching Digital Skills: What Are Some of the Most Effective Ways to Teach Digital Skills in Both Formal and Non-Formal Educational Settings?,2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4183900,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4183898,Digital Skills Development,2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4183898,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4183765,Devising a Strategic Approach to Artificial Intelligence,2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4183765,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4180590,202200331294_Papers in relation to 1a - STEM Briefing Cabinet Secretary meeting with Mr Ewing,2022,Scottish Government,Government,Government,grid.421126.2,GB,United Kingdom,Scotland,Edinburgh,55.95356,-3.184061,https://app.dimensions.ai/details/policy_documents/policy.4180590,http://www.gov.scot/#slide/1,Computational Thinking,policy_document
policy.4179526,Applications for New Awards; Fund for the Improvement of Postsecondary Education-Special Projects (FIPSE-SP),2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4179526,http://www.ed.gov/,Computational Thinking,policy_document
policy.4173715,Report of the Sixth Ministerial Conference on the Information Society in Latin America and the Caribbean,2018,United Nations Economic Commission for Latin America and the Caribbean,Government,Government,grid.494685.2,CL,Chile,,Santiago,-33.47279,-70.62983,https://app.dimensions.ai/details/policy_documents/policy.4173715,https://www.cepal.org/en,Computational Thinking,policy_document
policy.4173698,"Programme of regional cooperation activities of the digital agenda for Latin America and the Caribbean, 2018-2020 (eLAC2020)",2018,United Nations Economic Commission for Latin America and the Caribbean,Government,Government,grid.494685.2,CL,Chile,,Santiago,-33.47279,-70.62983,https://app.dimensions.ai/details/policy_documents/policy.4173698,https://www.cepal.org/en,Computational Thinking,policy_document
policy.4172847,"Report of the Third meeting of the Conference on Science, Innovation and Information and Communications Technologies of the Economic Commission for Latin America and the Caribbean",2022,United Nations Economic Commission for Latin America and the Caribbean,Government,Government,grid.494685.2,CL,Chile,,Santiago,-33.47279,-70.62983,https://app.dimensions.ai/details/policy_documents/policy.4172847,https://www.cepal.org/en,Computational Thinking,policy_document
policy.4163760,"Final Priorities and Definitions-Secretary's Supplemental Priorities and Definitions on Evidence-Based Literacy, Education Choice, and Returning Education to the States",2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4163760,http://www.ed.gov/,Computational Thinking,policy_document
policy.4163742,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Meaningful Learning Opportunities,2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4163742,http://www.ed.gov/,Computational Thinking,policy_document
policy.4160333,Digital technologies: Australian developments,2019,Australian Academy of Technological Sciences and Engineering,Nonprofit,Nonprofit,grid.423058.8,AU,Australia,Victoria,Melbourne,-37.83493,144.97382,https://app.dimensions.ai/details/policy_documents/policy.4160333,https://www.atse.org.au/,Computational Thinking,policy_document
policy.4160329,Investing in a post COVID-19 tech boom,2020,Australian Academy of Technological Sciences and Engineering,Nonprofit,Nonprofit,grid.423058.8,AU,Australia,Victoria,Melbourne,-37.83493,144.97382,https://app.dimensions.ai/details/policy_documents/policy.4160329,https://www.atse.org.au/,Computational Thinking,policy_document
policy.4158306,"Beyond Degrees: Pathways to Reforming Higher Education in Uttarakhand, India",2025,Asian Development Bank,Other,Other,grid.462005.5,PH,Philippines,,Manila,14.588323,121.0586,https://app.dimensions.ai/details/policy_documents/policy.4158306,http://www.adb.org/,Computational Thinking,policy_document
policy.4155222,The Impact of an Educational Robot-based Intervention on Second-graders Computational Thinking Skills: The Experimental Evaluation of the Irmi Program in Paraguay,2025,Inter-American Development Bank,Other,Other,grid.431756.2,US,United States,District of Columbia,Washington D.C.,38.899487,-77.03053,https://app.dimensions.ai/details/policy_documents/policy.4155222,https://www.iadb.org/,Computational Thinking,policy_document
policy.4141633,Mauritania Digital Economy Country Assessment,2025,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.4141633,http://www.worldbank.org/,Computational Thinking,policy_document
policy.4135938,"Applications for New Awards; Alaska Native and Native Hawaiian-Serving Institutions Program, Part A",2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4135938,http://www.ed.gov/,Computational Thinking,policy_document
policy.4135936,Applications for New Awards; Asian American and Native American Pacific Islander-Serving Institutions Program,2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4135936,http://www.ed.gov/,Computational Thinking,policy_document
policy.4135935,Applications for New Awards; Native American-Serving Nontribal Institutions Program,2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4135935,http://www.ed.gov/,Computational Thinking,policy_document
policy.4135926,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Advancing Artificial Intelligence in Education,2025,United States Department of Education,Government,Government,grid.419881.d,US,United States,District of Columbia,Washington D.C.,38.886513,-77.01885,https://app.dimensions.ai/details/policy_documents/policy.4135926,http://www.ed.gov/,Computational Thinking,policy_document
policy.4134035,Engaging Young People in the Implementation of ESD in the UNECE Region: Good Practices in the Engagement of Youth in Education for Sustainable Development,2022,United Nations Economic Commission for Europe,Other,Other,grid.494679.1,CH,Switzerland,,Geneva,46.224247,6.139544,https://app.dimensions.ai/details/policy_documents/policy.4134035,http://www.unece.org/info/ece-homepage.html,Computational Thinking,policy_document
policy.4127848,Education and the development of digital competences in Latin America and the Caribbean,2025,United Nations Economic Commission for Latin America and the Caribbean,Government,Government,grid.494685.2,CL,Chile,,Santiago,-33.47279,-70.62983,https://app.dimensions.ai/details/policy_documents/policy.4127848,https://www.cepal.org/en,Computational Thinking,policy_document
policy.4123471,Curriculum guidelines for Key Enabling Technologies (KETs) and Advanced Manufacturing Technologies (AMT),2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4123471,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4123226,Women in the digital age,2018,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4123226,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4123015,2nd survey of schools,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4123015,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122980,Free digital learning opportunities for migrants and refugees,2017,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122980,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122893,2nd survey of schools,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122893,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122888,2nd survey of schools,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122888,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122885,Methodological guide for implementation and evaluation of open e-textbook programs,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122885,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122876,Education outcomes enhanced by the use of digital technology,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122876,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122580,Special reports of the European Court of Auditors,2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122580,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122574,Assessment of tools and deliverables under the framework for European cooperation in education and training (ET2020),2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122574,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122382,"Study on the impact of the internet and social media on youth participation and youth work. Annex 2, Case studies",2018,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122382,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122130,Support of the stakeholder consultation in the context of the key competences review,2017,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122130,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4122129,Support of the stakeholder consultation in the context of the key competences,2017,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4122129,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4120154,Education & training 2020,2016,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4120154,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4119948,The 2018 International Computer and Information Literacy Study (ICILS),2019,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4119948,http://publications.europa.eu/en/home,Computational Thinking,policy_document
policy.4119727,Study to support the monitoring of the Declaration on Digital Rights and Principles,2025,Publications Office of the European Union,Government,Government,grid.482028.4,LU,Luxembourg,,Luxembourg,49.598927,6.131402,https://app.dimensions.ai/details/policy_documents/policy.4119727,http://publications.europa.eu/en/home,Computational Thinking,policy_document
