patent_id,title,year,publication_date,jurisdiction,legal_status,assignee,current_assignee,inventors,n_assignees,n_inventors,source_query,document_category,abstract_clean
WO-2020039413-A9,PUZZLE-TYPE DEVICE FOR LEARNING COMPUTATIONAL THINKING,2019,2020-04-16,WO,Ceased,Universidad Tecnica Particular De Loja,Universidad Tecnica Particular De Loja,TORRES CARRIÓN PABLO VICENTE; TORRES DÍAZ JUAN CARLOS; GUAJALA MICHAY MARÍA MAGDALENA; RAMÍREZ BETANCOURT CRISTIAN; CRUZ SARMIENTO DARÍO JAVIER,1,5,Computational Thinking,patent,"The present invention relates to a manual gadget for developing computational thinking, by ordering pieces having individual behaviour, which together form an algorithm of programming commands that can be executed in the base of the apparatus. The gadget comprises a sensor system for reading the behaviour of each piece, which is subsequently analysed by a central processing unit from which the results are sent to a screen. If there are errors in the sequence, they are shown on the screen in a numerated system that allows user orientation."
WO-2020039413-A3,PUZZLE-TYPE DEVICE FOR LEARNING COMPUTATIONAL THINKING,2019,2020-09-10,WO,Ceased,Universidad Tecnica Particular De Loja,Universidad Tecnica Particular De Loja,TORRES CARRIÓN PABLO VICENTE; TORRES DÍAZ JUAN CARLOS; GUAJALA MICHAY MARÍA MAGDALENA; RAMÍREZ BETANCOURT CRISTIAN; CRUZ SARMIENTO DARÍO JAVIER,1,5,Computational Thinking,patent,"The present invention relates to a manual gadget for developing computational thinking, by ordering pieces having individual behaviour, which together form an algorithm of programming commands that can be executed in the base of the apparatus. The gadget comprises a sensor system for reading the behaviour of each piece, which is subsequently analysed by a central processing unit from which the results are sent to a screen. If there are errors in the sequence, they are shown on the screen in a numerated system that allows user orientation."
WO-2020039413-A2,PUZZLE-TYPE DEVICE FOR LEARNING COMPUTATIONAL THINKING,2019,2020-02-27,WO,Ceased,Universidad Tecnica Particular De Loja,Universidad Tecnica Particular De Loja,TORRES CARRIÓN PABLO VICENTE; TORRES DÍAZ JUAN CARLOS; GUAJALA MICHAY MARÍA MAGDALENA; RAMÍREZ BETANCOURT CRISTIAN; CRUZ SARMIENTO DARÍO JAVIER,1,5,Computational Thinking,patent,"The present invention relates to a manual gadget for developing computational thinking, by ordering pieces having individual behaviour, which together form an algorithm of programming commands that can be executed in the base of the apparatus. The gadget comprises a sensor system for reading the behaviour of each piece, which is subsequently analysed by a central processing unit from which the results are sent to a screen. If there are errors in the sequence, they are shown on the screen in a numerated system that allows user orientation."
WO-2019102493-A1,DIGITAL TEACHING MANAGEMENT SYSTEM,2018,2019-05-31,WO,Ceased,Essm Innovative Teaching Concepts,Essm Innovative Teaching Concepts,S SELVAMANI,1,1,Computational Thinking,patent,"Digital Teaching Management System. Embodiments herein provide a method and systems for managing digital teaching of an academic curriculum. The method includes determining, by a Content Management (CM) engine (130), course contents related to topics from external sources based on time duration provided for teaching the topics. Further, the method includes modifying, by the CM engine (130), the course contents based on user preference, participant profile and past performance of participants. Further, the method includes generating, by the CM engine (130), notifications if the time duration of topics does not satisfy the pre-defined time duration for teaching the topic in a session. Furthermore, the method includes generating, by the CM engine (130), a digital course plan report when the time duration of topics satisfies the pre-defined time duration for teaching the topic in the session."
WO-2018229797-A1,INTERACTIVE SYSTEM FOR TEACHING SEQUENCING AND PROGRAMMING,2018,2018-12-20,WO,Ceased,Grasp Io Innovations Pvt Ltd,Grasp Io Innovations Pvt Ltd,T S SHANMUGHA; KUMAR VIVEK PRADEEP; KUNDULLY JAYAKRISHNAN; KOTHARI RAHUL; JAYARAM RUDRESH; MENON VINEETHA; T NISCHITHA; J JOHN SOLOMON,1,8,Computational Thinking,patent,"The present disclosure discloses an interactive system for teaching sequencing and programming to children. In some embodiments, the interactive system comprises a plurality of tiles organisable to form a structural pattern, wherein each tile comprises an RFID tag storing at least a pre-defined command corresponding to a first action and an identifier associated with a second set of actions, and an interactive robot. In some embodiments, the interactive robot when placed on the tile is configured for, receiving a voice command from a user, reading at least the pre-defined command and the identifier from the RFID tag associated with the tile, comparing the command received from the user and the pre-defined command, and performing one or more actions from among a third set of actions based on a result of comparison."
WO-2018061030-A9,SYSTEM FOR CO-ORDINATION OF LOGICAL SEQUENCE OF INSTRUCTIONS ACROSS ELECTRONIC DEVICES USING VISUAL PROGRAMMING AND WIRELESS COMMUNICATION,2017,2019-07-04,WO,Ceased,Gunakar Private Ltd,Gunakar Private Ltd,PALSHIKAR AMOL SUBHASH; MUJUMDAR GIRISH RAMESH,1,2,Computational Thinking,patent,"This invention embodies an Orchestration Engine, a system comprising the same and a method comprising its use for providing a technical output across two or more than two programmable objects selected from the group consisting of electronic devices, virtual objects and cloud based services in response to user specified logic. The orchestration engine is deployed on a mobile computer or a tablet computer or a laptop computer or a desktop computer or a wired or wireless electronic device in the system or on a server computer connected via internet. The said method and the Orchestration Engine is capable of supporting extensibility in order to expand support for similar common interaction methods to newer electronic devices via a plug-in framework by specifying the communication protocol of the new element and its capabilities in a descriptive way via a markup language; and is provided along with a library of drag and drop Visual Programming Language steps required for providing executable computer program steps for specifying a user specified logic by computer language illiterate person."
WO-2018061030-A1,SYSTEM FOR CO-ORDINATION OF LOGICAL SEQUENCE OF INSTRUCTIONS ACROSS ELECTRONIC DEVICES USING VISUAL PROGRAMMING AND WIRELESS COMMUNICATION,2017,2018-04-05,WO,Ceased,Gunakar Private Ltd,Gunakar Private Ltd,PALSHIKAR AMOL SUBHASH; MUJUMDAR GIRISH RAMESH,1,2,Computational Thinking,patent,"This invention embodies an Orchestration Engine, a system comprising the same and a method comprising its use for providing a technical output across two or more than two programmable objects selected from the group consisting of electronic devices, virtual objects and cloud based services in response to user specified logic. The orchestration engine is deployed on a mobile computer or a tablet computer or a laptop computer or a desktop computer or a wired or wireless electronic device in the system or on a server computer connected via internet. The said method and the Orchestration Engine is capable of supporting extensibility in order to expand support for similar common interaction methods to newer electronic devices via a plug-in framework by specifying the communication protocol of the new element and its capabilities in a descriptive way via a markup language; and is provided along with a library of drag and drop Visual Programming Language steps required for providing executable computer program steps for specifying a user specified logic by computer language illiterate person."
WO-2018005414-A1,MODULAR COMPUTING ENVIRONMENT,2017,2018-01-04,WO,Ceased,Google LLC,Google LLC,de Castro Alexandra Maria Fernandes; GOLDSTEIN JAYME ROSS; PEDERSEN ZEBEDEE; Wilbert Joao Henrique Santos; VRANAKIS STAVROS; Tanimura Hana; Carey William Marlyan; ROBERTS IAIN; INZUCCHI NICHOLAS; LARSON TED; BLODGET BRANDON; THOMPSON MICHAEL PETER; BLIKSTEIN PAULO; Sipitakiat Arnan,1,14,Computational Thinking,patent,"Systems and methods associated with modular computing environments are provided. For instance, a modular computing environment can include a control entity including one or more processing devices. The modular computing environment can include one or more modular components directly or indirectly coupled to the control entity. The one or more modular components can be configured to receive a module specifying one or more instructions to be performed by an external device. The one or more modular components include one or more processing devices. Each modular component is configured to determine state data associated with the modular component based at least in part on the received module and to provide the state data to the control entity. The state data includes an identification signature of the received module and a configuration context of the modular component within the modular computing environment."
WO-2017184478-A1,MAGNETIC RECEPTIVE SENSOR AND OPTIMIZED DRAWING AND ERASING FOR VERTICALLY DRIVING ROBOT,2017,2017-10-26,WO,Ceased,Harvard University,Harvard University,DUBROVSKY ZIVTHAN; CHERNEY RAPHAEL; SALLUM HANI; DA SILVA GILLIG JULIAN,1,4,Computational Thinking,patent,"A vertically driving marking robot includes a robot body; at least one magnet constraining the robot to move parallel to a vertical, magnetically responsive surface; a drive configured to displace the robot relative to the surface while the robot is held to the surface; a holder configured to hold a marker; an accelerometer measuring a gravity vector; a computing device in communication with the optical sensors, the accelerometer, and the drive. The computing device includes a processor and computer-readable memory, wherein the computer-readable memory includes non-transitory program code for at least one of the following actions: (a) generating a drift correction to compensate for drive slippage drift in response to and as a function of the gravity vector and (b) commanding the drive to displace the robot along a desired trajectory in response to the drift correction."
WO-2017152532-A1,COGNITIVE MODEL-BASED COMPUTATIONAL THINKING TRAINING METHOD AND DEVICE,2016,2017-09-14,WO,Ceased,Shenzhen University,Shenzhen University,LIU GANG; XING JIN; ZHANG ZHAOQIN; YANG XUAN; JIA WEICHEN; CHEN SHOUFANG,1,6,Computational Thinking,patent,"A cognitive model-based computational thinking training method and device. The method comprises: constructing a training platform for training computational thinking according to a computational thinking cognitive model set by a user (S101); the training platform displaying training data corresponding to the computational thinking cognitive model, acquiring training feedback data of the user for the training data, and working out an evaluation grade for the computational thinking of the user according to the training feedback data and a pre-set rating standard (S102); and performing multi-level fuzzy evaluation on the computational thinking of the user according to the evaluation grade (S103). Abstract thinking ability training and evaluation are performed on a learner through a complete training procedure and evaluation system in the training platform, and the way of thinking of the learner during vocational education can be effectively changed, so as to complete the transformation of talent from a technical operation type to an information processing type."
WO-2016202270-A1,SYSTEM AND METHOD FOR PHYSICAL PROGRAMMING ON INTERACTIVE SURFACE,2016,2016-12-22,WO,Ceased,Individual,Individual,SHI ZHENG; WANG HUIHUI; DU YAOHONG,1,3,Computational Thinking,patent,"A system and method are provided for physical programming on an interactive surface. The system includes multiple physical programming objects (1) with each object (1) visually marked with a programming symbol; an interactive surface (2) comprising an array of electrodes; a processor (3) operatively linked to the interactive surface (2), configured to detect the magnitude of the capacitive coupling between the physical programming objects (1) placed on the interactive surface (2) and the array of electrodes of the interactive surface (2), and further configured to identify the location information of the physical programming objects (1) as well as finger touch gestures made upon the programmable physical objects (1), and further configured to recognize the IDs of the physical programming objects (1); a first memory unit (4) operatively linked to the processor (3), configured to store correlation relationships among and between the objects' IDs, programming symbols and programming codes; a second memory unit (5) operatively linked to the processor (3), configured to store correlation relationships between the finger touch gestures and the programming logic of the programming symbols. Once the physical programming objects (1) are placed on the interactive surface (2) and a finger touch gesture is made upon the physical programming objects (1), the processor (3) is configured to produce a programming code based on the finger touch gesture and the programming symbols."
WO-2016178032-A1,PUZZLE,2016,2016-11-10,WO,Ceased,PLAN-IT-CUBE Ltd,PLAN-IT-CUBE Ltd,O'BRIEN STEPHEN; DOUGLAS DEREK,1,2,Computational Thinking,patent,"A puzzle including at least four blocks, each block having at least four sides. The at least four sides of each block have at least two different colours. Each side of each block is of a particular colour and face type. Some of the blocks have a first grouping of face types and others have different groupings of face types. The face types are selected from a number, a letter, a graphic and a blank (colour only), and at least three different face types are present on each block."
WO-2015153812-A1,"COLOR- OR GRAYSCALE-SENSING, MAGNETIC, MOBILE, MARKING ROBOT",2015,2015-10-08,WO,Ceased,Harvard University,Harvard University,DUBROVSKY ZIVTHAN; CHERNEY RAPHAEL; MOGENSON MICHAEL; WERFEL JUSTIN; O'DONNELL KATHLEEN; NAGPAL RADHIKA; NAPP NILS,1,7,Computational Thinking,patent,"In a method for interactive marking by a mobile robot on a vertical surface, a mobile robot that includes a sensor and an actuated marker is displaced across a vertical surface. Features on, in or behind the vertical surface are detected with the sensor. Displacement of the mobile robot and actuation of the actuated marker is controlled in response to the detection of these features."
WO-2015083964-A1,CONTENT CREATING SYSTEM AND METHOD FOR SAME,2014,2015-06-11,WO,Ceased,CULTURE KOREA,CULTURE KOREA,SONG EUN HA,1,1,Computational Thinking,patent,"The present invention relates to a content creating system using content curation and a method for same, and to a content creating system using content curation and a method for same which can provide: a system in which content for each issue can be autonomously generated and developed, and a training method using the system. The system generates and develops the content through: a content curation process of collecting, editing, and recreating content for each issue generated worldwide through a virtual cooperative having users as principal agents; a content selecting process of monitoring and evaluating the content; a process of opening the curated content to the public and improving the content; and a combined content creating and training process of certification by experts in the respective categories."
WO-2014120780-A1,INQUIRY SKILLS TUTORING SYSTEM,2014,2014-08-07,WO,Ceased,Worcester Polytechnic Institute,Worcester Polytechnic Institute,GOBERT JANICE D; BAKER RYAN S; SAO PEDRO MICHAEL A,1,3,Computational Thinking,patent,"An assessment engine includes a definition of inquiry skills being assessed. Assessment models are used to infer skill demonstration as one or more students engage in inquiry within computerized simulations and/or microworlds. A pedagogical agent and/or help system provides real-time feedback to one or more students based on the assessment model outputs, and/or based on additional models that track one or more students developing proficiency across inquiry tasks over time. A pedagogical agent and/or help system for science inquiry tutoring responds in real-time on the basis of knowledge-engineered and data-mined assessment and/or tracking models."
US-9564057-B2,Inquiry skills tutoring system,2016,2017-02-07,US,Active - Reinstated,Worcester Polytechnic Institute,Worcester Polytechnic Institute,GOBERT JANICE D; SAO PEDRO MICHAEL A; BETTS CAMERON GUERRA; BAKER RYAN S,1,4,Computational Thinking,patent,"An assessment engine includes a definition of inquiry skills being assessed. Assessment models are used to infer skill demonstration as one or more students engage in inquiry within computerized simulations and/or microworlds. A pedagogical agent and/or help system provides real-time feedback to one or more students based on the assessment model outputs, and/or based on additional models that track one or more students developing proficiency across inquiry tasks over time. A pedagogical agent and/or help system for science inquiry tutoring responds in real-time on the basis of knowledge-engineered and data-mined assessment and/or tracking models."
US-9563407-B2,Computer implemented modeling system and method,2015,2017-02-07,US,Expired - Fee Related,Individual,Individual,SALTER RICHARD,1,1,Computational Thinking,patent,A computer implemented modeling method and system that includes using a visual programming language to create a topological framework model configured to spatially arrange a set of one more agent submodels and incorporate an environmental submodel for each position of the topological framework model. The method further includes capturing the topological framework model by converting elements of the visual programming language into a textual programming language.
US-9373082-B2,Inquiry skills tutoring system,2014,2016-06-21,US,Active,Worcester Polytechnic Institute,Worcester Polytechnic Institute,GOBERT JANICE D; BAKER RYAN S; SAO PEDRO MICHAEL A,1,3,Computational Thinking,patent,"An assessment engine includes a definition of inquiry skills being assessed. Assessment models are used to infer skill demonstration as one or more students engage in inquiry within computerized simulations and/or microworlds. A pedagogical agent and/or help system provides real-time feedback to one or more students based on the assessment model outputs, and/or based on additional models that track one or more students developing proficiency across inquiry tasks over time. A pedagogical agent and/or help system for science inquiry tutoring responds in real-time on the basis of knowledge-engineered and data-mined assessment and/or tracking models."
US-9304744-B2,Conversational programming,2014,2016-04-05,US,Active - Reinstated,AgentSheets Inc,AgentSheets Inc,REPENNING ALEXANDER,1,1,Computational Thinking,patent,"Methods and systems for providing rich semantic feedback to programmers by executing programs, or parts of programs, in data contexts relevant to the programmer are provided. According to one embodiment, software code associated with one or more of multiple programming building blocks is enabled to be concurrently edited and executed within a programming environment. A conversational programming agent of the programming environment receives (i) information regarding the programming building blocks and (ii) information indicative of a current situation relating to the programming building blocks. The conversational programming agent evaluates the programming building blocks based on the current situation. Then, detection of one or more logical errors in one or more of the programming building blocks is facilitated by the conversational programming agent proactively providing semantic feedback regarding those of the programming building blocks to which the current situation is relevant to the programmer based on results of the evaluation."
US-8671058-B1,Methods and systems for generating completely automated public tests to tell computers and humans apart (CAPTCHA),2010,2014-03-11,US,Active,Individual,Individual,ISAACS GARY,1,1,Computational Thinking,patent,"Methods and Systems for generating a Completely Automated Public Tests to tell Computer and Humans Apart (CAPTCHA) provide a computational puzzle according to a received request. The computational puzzle, which may be for example, a jigsaw puzzle, maze puzzle, composite image of matching and non matching shapes or other type of puzzle, is configured to have a correct solution that is expected to be determinable by a human rather than a computer. For example, the computational puzzle is generated from a plurality of individually randomly generated puzzle features, such as puzzle surface image, image color gradient, puzzle component shape, or other puzzle features. A determination is made as to whether a human as opposed to a machine solved the computational puzzle."
US-8645914-B2,Conversational programming,2011,2014-02-04,US,Active - Reinstated,AgentSheets Inc,AgentSheets Inc,REPENNING ALEXANDER,1,1,Computational Thinking,patent,"Methods and systems for providing rich semantic feedback to programmers by executing programs, or parts of programs, in data contexts relevant to the programmer are provided. According to one embodiment, a method is provided for communicating semantic information to a programmer. A conversational programming agent of a programming environment receives (i) information regarding multiple programming building blocks and (ii) information indicative of a current situation relating to the programming building blocks. The conversational programming agent evaluates the programming building blocks based on the current situation. Then, the conversational programming agent provides semantic feedback regarding the programming building blocks to the programmer based on results of the evaluation."
US-20250142091-A1,METHOD AND SYSTEM FOR USING PHYSICAL TOY BLOCKS TO PREFORM CODING TASKS,2024,2025-05-01,US,Pending,University of Alberta,University of Alberta,AHMAD RAFIQ; HUNG PATRICK; IQBAL FARKHUND; CARDENAS CASTANEDA JENNIFER ALEJANDRA,1,4,Computational Thinking,patent,"Embodiments herein generally relate to a method and system using physical toy blocks to perform (e.g., execute) coding tasks. In some examples, the method for performing coding tasks using physical toy blocks involves: capturing one or more images of an assembled arrangement of the toy blocks; analyzing the images to determine one or more arrangement features; based on the determined arrangement features, determining a code structure associated with the block arrangement; determining if the code structure satisfies one or more criteria, associated with a coding task; and if so, generating an output indicating the coding task is completed."
US-20250037039-A1,MOLECULAR DATA STORAGE USING COST-FREE MOLECULAR LIBRARIES,2024,2025-01-30,US,Pending,Brown University,Brown University,ROSENSTEIN JACOB K; RUBENSTEIN BRENDA M; GUMUS SELAHADDIN; BIECHELE-SPEZIALE DANA,1,4,Computational Thinking,patent,"The invention provides the uses of chemical waste and byproducts in a chemical library to store digital information, and methods for computing with unknown waste chemicals by encoding digital data into a plurality of chemicals to obtain a dataset; translating the dataset into a chemical form; reading the data set; querying the dataset by performing an operation to obtain a perceptron; and analyzing the perceptron for identifying change in at least one of the chemicals, thereby developing a chemical computational language. The invention demonstrates a workflow for representing abstract data in synthetic metabolomes. Also presented are several demonstrations of kilobyte-scale image data sets stored in synthetic metabolomes, recovered at >99% accuracy."
US-20240261696-A1,THREE-DIMENSIONAL MAGNETIC BLOCK SYSTEM AND METHOD,2023,2024-08-08,US,Granted,Individual,Individual,JENNINGS PAMELA L; BENGTSON ALAN; BACHAALANY ELIAS; MAALOUF IMAD,1,4,Computational Thinking,patent,"Disclosed are methods and systems of blocks with magnets, magnetically-attractive non-magnetic elements, and magnetic detectors. The methods and systems facilitate user attachment and detachment of the blocks to each other and detection of which face of which block is attached to which face of which other block, and in what orientation. The blocks can be comprised of multiple regular convex polyhedra, such as tetrahedrons, cubes, octahedra, dodecahedra, or icosahedra. The faces of the blocks could be equilateral triangles, squares, or regular pentagons. The methods and systems can further comprise a selection pen and system software configured to render the blocks and their attachment to each other on a display."
US-20230027270-A1,METHODS OF CHEMICAL COMPUTATION,2022,2023-01-26,US,Pending,Brown University,Brown University,RUBENSTEIN BRENDA; ROSENSTEIN JACOB KARL; ARCADIA CHRISTOPHER; CHEN SHUI LING; DOMBROSKI AMANDA DORIS; GEISER JOSEPH D; KENNEDY EAMONN; KIM EUNSUK; OAKLEY KADY M; REDA SHERIEF; ROSE CHRISTOPHER; SELLO JASON KELBY; TANN HOKCHHAY; WEBER PETER; BIECHELE-SPEZIALE DANA JO; GUMUS SELAHADDIN,1,16,Computational Thinking,patent,"The invention provides methods for computing with chemicals by encoding digital data into a plurality of chemicals to obtain a dataset; translating the dataset into a chemical form; reading the data set; querying the dataset by performing an operation to obtain a perceptron; and analyzing the perceptron for identifying chemical structure and/or concentration of at least one of the chemicals, thereby developing a chemical computational language. The invention demonstrates a workflow for representing abstract data in synthetic metabolomes. Also presented are several demonstrations of kilobyte-scale image data sets stored in synthetic metabolomes, recovered at >99% accuracy."
US-20220023767-A1,MODULAR ROBOTIC SYSTEM AND METHODS FOR CONFIGURING ROBOTIC MODULE,2019,2022-01-27,US,Abandoned,Building Blocks Learning Solutions Pvt Ltd,Building Blocks Learning Solutions Pvt Ltd,GABA RAJEEV; BHALLA tarun; IYER ISHAAN; JAKHAR MANOJ,1,4,Computational Thinking,patent,"Disclosed herein is a modular robotic system, and methods for configuring the robotic module. The robotic system includes a first housing comprising a first processor and a first connector, a second housing comprising a second processor and a second connector, the first connector of the first housing being connectable to the second connector of the second housing in a plurality of orientations relative to one another, where the first processor and the second processor are configured to communicate with one other when connected in any of the plurality of orientations"
US-20210342126-A1,SYSTEM FOR CO-ORDINATION OF LOGICAL SEQUENCE OF INSTRUCTIONS ACROSS ELECTRONIC DEVICES USING VISUAL PROGRAMMING AND WIRELESS COMMUNICATION,2021,2021-11-04,US,Abandoned,Gunakar Private Ltd,Gunakar Private Ltd,PALSHIKAR AMOL SUBHASH; MUJUMDAR GIRISH RAMESH,1,2,Computational Thinking,patent,"An orchestration engine provides a technical output across multiple programmable objects such as electronic devices, virtual objects and cloud based services in response to user specified logic. The orchestration engine may be deployed on a mobile computer, a tablet computer, a laptop computer, a desktop computer, a wired or wireless electronic device in the system or on a server computer connected via internet. The orchestration engine is capable of supporting extensibility in order to expand support for similar common interaction methods to newer electronic devices via a plug-in framework by specifying the communication protocol of the new element and its capabilities in a descriptive way via a markup language. The orchestration engine is provided along with a library of drag and drop Visual Programming Language steps required for providing executable computer program steps for specifying a user specified logic by computer language illiterate person."
