ct_layer,doi,title,year,journal,document_type,openalex_is_oa,openalex_oa_status,dimensions_times_cited,openalex_cited_by_count,scopus_citations,wos_citations_core,altmetric_score,altmetric_posts_count,altmetric_accounts_count,altmetric_tweeters_count,altmetric_bluesky_count,mendeley_reader_count,mendeley_group_count,openalex_top_concepts,citations_academic,altmetric_score_filled,mendeley_readers_filled,is_oa,ct_signal
broad,10.1002/cae.22058,Continuous assessment in a computer programming course supported by a software tool,2019,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,True,gold,32.0,39.0,,29.0,,,,,,72.0,13.0,Computer science; Computer programming; Perception; Course (navigation); Software,32.0,0.0,72.0,True,exact|context
broad,10.1002/cae.22074,An ultra-low cost line follower robot as educational tool for teaching programming and circuit's foundations,2019,Computer Applications in Engineering Education,Article,False,closed,47.0,53.0,42.0,30.0,,,,,,198.0,19.0,Computer science; Electronics; Robot; Software; Android (operating system),47.0,0.0,198.0,False,exact|context
broad,10.1002/cae.22177,Pencil Code improves learners' computational thinking and computer learning attitude,2020,Computer Applications in Engineering Education,Article,False,closed,54.0,52.0,48.0,36.0,3.0,1.0,1.0,,,152.0,16.0,Computational thinking; Python (programming language); Computer science; Pencil (optics); Scratch,54.0,3.0,152.0,False,exact|context|concepts
broad,10.1002/cae.22214,Developing computational thinking with a module of solved problems,2021,Computer Applications in Engineering Education,Article,True,green,35.0,45.0,39.0,28.0,1.0,1.0,1.0,1.0,,225.0,22.0,Abstraction; Computer science; Representation (politics); Comprehension; Computational thinking,35.0,1.0,225.0,True,exact|context|concepts
broad,10.1002/cae.22247,Teaching computer programming to science majors by modelling,2021,Computer Applications in Engineering Education,Article,False,closed,6.0,8.0,7.0,5.0,,,,,,68.0,3.0,Computer science; Debugging; Animation; Coding (social sciences); Class (philosophy),6.0,0.0,68.0,False,exact|context
broad,10.1002/cae.22255,Computational thinking in programming with Scratch in primary schools: A systematic review,2021,Computer Applications in Engineering Education,Article,True,hybrid,187.0,187.0,156.0,111.0,8.0,1.0,1.0,,,798.0,47.0,Scratch; Computational thinking; Curriculum; Computer science; Confusion,187.0,8.0,798.0,True,exact|context|concepts
broad,10.1002/cae.22291,Design science research for learning software engineering and computational thinking: Four cases,2021,Computer Applications in Engineering Education,Article,False,closed,58.0,56.0,57.0,38.0,,,,,,284.0,18.0,Creativity; Curriculum; The arts; Computer science; Computational thinking,58.0,0.0,284.0,False,exact|context|concepts
broad,10.1002/cae.22295,Computational thinking in higher education: A review of the literature,2020,Computer Applications in Engineering Education,Article,False,closed,111.0,119.0,99.0,67.0,,,,,,418.0,25.0,Computational thinking; Inclusion (mineral); Computer science; Mathematics education; Process (computing),111.0,0.0,418.0,False,exact|context|concepts
broad,10.1002/cae.22305,Bridging the gap between student instruction and advanced research: Educational software tool for manufacturing learning,2021,Computer Applications in Engineering Education,Article,False,closed,3.0,7.0,5.0,3.0,,,,,,22.0,5.0,Competitor analysis; Bridging (networking); Computer science; Software; Process (computing),3.0,0.0,22.0,False,exact|context
broad,10.1002/cae.22319,Advancing preuniversity students' computational thinking skills through an educational project based on tangible elements and virtual block-based programming,2020,Computer Applications in Engineering Education,Article,False,closed,11.0,11.0,14.0,9.0,,,,,,149.0,16.0,Computational thinking; Context (archaeology); Computer science; Mathematics education; Intervention (counseling),11.0,0.0,149.0,False,exact|context|concepts
broad,10.1002/cae.22321,The consequences of robotics programming education on computational thinking skills: An intervention of the Young Engineer's Workshop (YEW),2021,Computer Applications in Engineering Education,Article,False,closed,69.0,65.0,60.0,37.0,1.0,1.0,1.0,1.0,,257.0,25.0,Robotics; Curriculum; Artificial intelligence; Creativity; Computational thinking,69.0,1.0,257.0,False,exact|context|concepts
broad,10.1002/cae.22324,Integrated activities in STEM environment: Methodology and implementation practice,2021,Computer Applications in Engineering Education,Article,False,closed,41.0,41.0,29.0,15.0,,,,,,330.0,16.0,Curriculum; Context (archaeology); Computational thinking; Computer science; Process (computing),41.0,0.0,330.0,False,exact|context|concepts
broad,10.1002/cae.22343,Unpacking teachers’ concerns about CT-based pedagogy: The case of software education in Korea,2021,Computer Applications in Engineering Education,Article,False,closed,3.0,3.0,2.0,2.0,,,,,,29.0,2.0,Unpacking; Categorization; Psychology; Mathematics education; Pedagogy,3.0,0.0,29.0,False,exact
broad,10.1002/cae.22357,Enhancing computational thinking in undergraduate engineering courses using model-eliciting activities,2021,Computer Applications in Engineering Education,Article,False,closed,12.0,15.0,12.0,11.0,0.75,2.0,2.0,1.0,,54.0,5.0,Practicum; Computer science; Task (project management); Engineering education; Mathematics education,12.0,0.75,54.0,False,exact|context|concepts
broad,10.1002/cae.22365,Computational thinking development through physical computing activities in STEAM education,2021,Computer Applications in Engineering Education,Article,False,closed,75.0,74.0,74.0,50.0,,,,,,298.0,18.0,Computational thinking; Curriculum; Computer science; Artifact (error); Mathematics education,75.0,0.0,298.0,False,exact|context|concepts
broad,10.1002/cae.22369,To code or not to code: Introducing coding in primary schools,2021,Computer Applications in Engineering Education,Article,False,closed,13.0,17.0,11.0,8.0,1.0,1.0,1.0,1.0,,149.0,12.0,Computer science; Coding (social sciences); Software deployment; Code (set theory); Mathematics education,13.0,1.0,149.0,False,exact|context|concepts
broad,10.1002/cae.22374,Pedagogy of teaching introductory text-based programming in terms of computational thinking concepts and practices,2021,Computer Applications in Engineering Education,Article,False,closed,20.0,21.0,15.0,10.0,1.85,2.0,2.0,2.0,,151.0,13.0,Curriculum; Computational thinking; Computer science; Syntax; Mathematics education,20.0,1.85,151.0,False,exact|context|concepts
broad,10.1002/cae.22382,"Computational thinking: Enhancing STEAM and engineering education, from theory to practice",2021,Computer Applications in Engineering Education,Article,False,closed,53.0,53.0,46.0,26.0,,,,,,223.0,14.0,Computational thinking; Engineering education; Engineering ethics; Computer science; Engineering mathematics,53.0,0.0,223.0,False,exact|context|concepts
broad,10.1002/cae.22394,Annotated functional decomposition,2021,Computer Applications in Engineering Education,Article,False,closed,4.0,3.0,3.0,3.0,,,,,,19.0,1.0,Computer science; Decomposition; Focus (optics); Unified Modeling Language; Syntax,4.0,0.0,19.0,False,exact|context
broad,10.1002/cae.22425,Using peer code review to improve computational thinking in a blended learning environment: A randomized control trial,2021,Computer Applications in Engineering Education,Article,False,closed,6.0,6.0,7.0,5.0,,,,,,49.0,6.0,Computational thinking; Computer science; Test (biology); Mathematics education; Student engagement,6.0,0.0,49.0,False,exact|context|concepts
broad,10.1002/cae.22440,An elementary finite element exercise to stimulate computational thinking in engineering education,2022,Computer Applications in Engineering Education,Article,True,hybrid,9.0,10.0,8.0,7.0,,,,,,63.0,5.0,Finite element method; Computational thinking; Computer science; Frame (networking); Software,9.0,0.0,63.0,True,exact|context|concepts
broad,10.1002/cae.22442,Effects of technology-enhanced learning approaches on learners with different prior learning attitudes and knowledge in computational thinking,2022,Computer Applications in Engineering Education,Article,False,closed,18.0,20.0,16.0,16.0,,,,,,69.0,5.0,Computer science; Mathematics education; Educational technology; Active learning (machine learning); Experiential learning,18.0,0.0,69.0,False,exact|context|concepts
broad,10.1002/cae.22454,A scale for measuring middle school students' attitudes toward programming,2022,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,False,closed,12.0,12.0,,10.0,,,,,,43.0,5.0,Scale (ratio); Mathematics education; Computer science; Psychology; Geography,12.0,0.0,43.0,False,exact|context|concepts
broad,10.1002/cae.22529,First experiences of integrating computational thinking into a blended learning in-service training program for STEM teachers,2022,Computer Applications in Engineering Education,Article,True,hybrid,30.0,34.0,32.0,13.0,,,,,,218.0,11.0,Context (archaeology); Computer science; Mathematics education; Meaning (existential); Medical education,30.0,0.0,218.0,True,exact|context|concepts
broad,10.1002/cae.22588,Embodied design: A framework for teaching practices focused on the early development of computational thinking,2023,Computer Applications in Engineering Education,Article,False,closed,6.0,7.0,8.0,5.0,,,,,,44.0,2.0,Computational thinking; Embodied cognition; Computer science; Cognition; Development (topology),6.0,0.0,44.0,False,exact|context|concepts
broad,10.1002/cae.22609,Introducing schoolchildren to computational thinking using smartphone apps: A way to encourage enrollment in engineering education,2023,Computer Applications in Engineering Education,Article,False,closed,17.0,13.0,14.0,10.0,,,,,,57.0,1.0,Computational thinking; Test (biology); Debugging; Mathematics education; Computer science,17.0,0.0,57.0,False,exact|context|concepts
broad,10.1002/cae.22610,Competitive programming in computational thinking and problem solving education,2023,Computer Applications in Engineering Education,Article,False,closed,20.0,14.0,10.0,7.0,,,,,,77.0,3.0,CONTEST; Computer science; Judgement; Computational thinking; Mathematics education,20.0,0.0,77.0,False,exact|context|concepts
broad,10.1002/cae.22654,Exploring the differences and evolution of college students' computational thinking in programming learning through data analysis,2023,Computer Applications in Engineering Education,Article,False,closed,2.0,4.0,4.0,2.0,3.85,7.0,7.0,7.0,,36.0,0.0,Mathematics education; Computer science; Tracking (education); Computational thinking; Skills management,2.0,3.85,36.0,False,exact|context|concepts
broad,10.1002/cae.22664,"The effects of educational robotics in programming education on students' programming success, computational thinking, and transfer of learning",2023,Computer Applications in Engineering Education,Article,False,closed,14.0,17.0,14.0,12.0,,,,,,45.0,0.0,Computational thinking; Computer science; Mathematics education; Robotics; Transfer of learning,14.0,0.0,45.0,False,exact|context|concepts
broad,10.1002/cae.22669,What influences computational thinking? A theoretical and empirical study based on the influence of learning engagement on computational thinking in higher education,2023,Computer Applications in Engineering Education,Article,True,hybrid,24.0,21.0,28.0,15.0,,,,,,117.0,3.0,Computational thinking; Student engagement; Mathematics education; Psychology; Empirical research,24.0,0.0,117.0,True,exact|context|concepts
broad,10.1002/cae.22679,Classification and prediction-based machine learning algorithms to predict students’ low and high programming performance,2024,Computer Applications in Engineering Education,Article,True,hybrid,22.0,19.0,25.0,20.0,,,,,,71.0,9.0,Computer science; Machine learning; Naive Bayes classifier; Artificial intelligence; Descriptive statistics,22.0,0.0,71.0,True,exact|context
broad,10.1002/cae.22698,CDIO-CT collaborative strategy for solving complex STEM problems in system modeling and simulation: An illustration of solving the period of mathematical pendulum,2024,Computer Applications in Engineering Education,Article,False,closed,5.0,3.0,3.0,2.0,0.75,2.0,2.0,2.0,,35.0,1.0,CDIO; Gauss; Computer science; Engineering education; Simulation,5.0,0.75,35.0,False,exact|context|concepts
broad,10.1002/cae.22723,Training future engineers: Integrating Computational Thinking and effective learning methodologies into education,2024,Computer Applications in Engineering Education,Article,True,hybrid,6.0,6.0,5.0,5.0,,,,,,72.0,3.0,Computational thinking; Training (meteorology); Computer science; Management science; Mathematics education,6.0,0.0,72.0,True,exact|context|concepts
broad,10.1002/cae.22732,Adaptive learning framework for learning computational thinking using educational robotics,2024,Computer Applications in Engineering Education,Article,True,bronze,4.0,4.0,4.0,3.0,,,,,,33.0,2.0,Computational thinking; Artificial intelligence; Computer science; Robotics; Adaptive learning,4.0,0.0,33.0,True,exact|context|concepts
broad,10.1002/cae.22738,Influence of the use of 3D printing technology for teaching chemistry in STEM disciplines,2024,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,True,hybrid,6.0,6.0,,1.0,7.0,1.0,1.0,,,41.0,1.0,3D printing; Limiting; Computer science; Construct (python library); Mathematics education,6.0,7.0,41.0,True,exact|context|concepts
broad,10.1002/cae.22740,Fostering computational thinking with simulated 3D robots in secondary education,2024,Computer Applications in Engineering Education,Article,True,hybrid,3.0,3.0,3.0,1.0,6.25,9.0,8.0,8.0,,39.0,3.0,Scratch; Session (web analytics); Robot; Block (permutation group theory); Computer science,3.0,6.25,39.0,True,exact|context
broad,10.1002/cae.22749,Beyond analytics: Using computer-aided methods in educational research to extend qualitative data analysis,2024,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,True,hybrid,2.0,2.0,,2.0,1.5,2.0,2.0,2.0,,17.0,1.0,Computer science; Coding (social sciences); Visualization; Data science; Categorization,2.0,1.5,17.0,True,exact|context
broad,10.1002/cae.22788,Competency-based TPACK approaches to computational thinking and integrated STEM: A conceptual exploration,2024,Computer Applications in Engineering Education,Review,True,bronze,,6.0,9.0,5.0,,,,,,59.0,0.0,Computational thinking; Computer science; Mathematics education; Psychology; Artificial intelligence,6.0,0.0,59.0,True,exact|context|concepts
broad,10.1002/cae.22793,"Effect of jigsaw-integrated task-driven learning on students' motivation, computational thinking, collaborative skills, and programming performance in a high-school programming course",2024,Computer Applications in Engineering Education,Article,True,bronze,,8.0,8.0,5.0,,,,,,82.0,4.0,Jigsaw; Computer science; Task (project management); Computational thinking; Mathematics education,8.0,0.0,82.0,True,exact|context|concepts
broad,10.1002/cae.70011,"Measuring the Impact of Web-Based Educational Tools on Enhancing Student Learning Indicators in Programming Skills, Computational Thinking, and Problem-Solving",2025,Computer Applications in Engineering Education,Article,False,closed,3.0,1.0,1.0,1.0,,,,,,38.0,1.0,Computational thinking; Computer science; Mathematics education; Knowledge management; Artificial intelligence,3.0,0.0,38.0,False,exact|context|concepts
broad,10.1002/cae.70030,"The Effects of Robot Programming on Mathematical Achievement, Mathematics Anxiety, and Programming Self-Efficacy",2025,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,True,hybrid,0.0,0.0,,0.0,,,,,,7.0,1.0,Computer science; Anxiety; Mathematics education; Robot; Mathematical optimization,0.0,0.0,7.0,True,exact|context|concepts
broad,10.1002/cae.70035,Exploring Undergraduate Students' Computational Thinking Skills Across Engineering Design Processes,2025,Computer Applications in Engineering Education,Article,False,closed,1.0,0.0,0.0,0.0,,,,,,14.0,1.0,Computational thinking; Computer science; Mathematics education; Psychology; Artificial intelligence,1.0,0.0,14.0,False,exact|context|concepts
broad,10.1002/cae.70050,Does Gender Influence the Learning Process of Computational Thinking in Secondary Education?,2025,Computer Applications in Engineering Education,Article,True,hybrid,0.0,0.0,0.0,0.0,,,,,,29.0,1.0,Computational thinking; Abstraction; Mathematics education; Process (computing); Computer science,0.0,0.0,29.0,True,exact|context|concepts
broad,10.1002/cae.70052,Impact of Artificial Intelligence Technology on Students' Computational and Reflective Thinking in a Computer Programming Course,2025,Computer Applications in Engineering Education,Article,True,bronze,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,44.0,3.0,Course (navigation); Computational thinking; Computer science; Computer programming; Mathematics education,2.0,1.0,44.0,True,exact|context|concepts
broad,10.1002/cae.70054,Examining the Impact of Mathematics Ancillary Courses on Computational Programming Intelligence of Computer Science Students Using Machine Learning Techniques,2025,Computer Applications in Engineering Education,Article,True,bronze,1.0,1.0,1.0,1.0,,,,,,9.0,0.0,Computer science; Mathematics education; Computational thinking; Computer programming; Artificial intelligence,1.0,0.0,9.0,True,exact|context|concepts
broad,10.1002/cae.70058,Effect of AI-Based Learning on Students' Computational Thinking Development: Evidence From a Meta-Analysis,2025,Computer Applications in Engineering Education,Article,False,closed,1.0,1.0,1.0,1.0,,,,,,12.0,0.0,Computer science; Computational thinking; Mathematics education; Artificial intelligence; Development (topology),1.0,0.0,12.0,False,exact|context|concepts
broad,10.1002/cae.70069,A Comparison of the Programming-Oriented Computational Thinking Skills of Engineering and Nonengineering Students at Turkish Universities,2025,Computer Applications in Engineering Education,Article,False,closed,1.0,0.0,0.0,,,,,,,3.0,0.0,Turkish; Computational thinking; Mathematics education; Computer science; Engineering education,1.0,0.0,3.0,False,exact|context|concepts
broad,10.1002/cae.70073,Teaching and Assessing Abstraction in K-12 Computational Thinking Education: A Systematic Literature Review,2025,Computer Applications in Engineering Education,Review,True,hybrid,1.0,1.0,1.0,,,,,,,13.0,2.0,Abstraction; Computational thinking; Computer science; Mathematics education; Psychology,1.0,0.0,13.0,True,exact|context|concepts
broad,10.1002/cae.70075,The Effects of a Generative AI-Enabled CDIO Teaching Model on Undergraduates' Computational Thinking and Individual Psychological Constructs,2025,Computer Applications in Engineering Education,Article,False,closed,0.0,0.0,0.0,,,,,,,37.0,1.0,CDIO; Experiential learning; Engineering education; Transformative learning; Generative grammar,0.0,0.0,37.0,False,exact|context
broad,10.1002/cjoc.202100456,SPONGE: A GPU-Accelerated Molecular Dynamics Package with Enhanced Sampling and AI-Driven Algorithms,2022,Chinese Journal of Chemistry,Article,True,green,46.0,43.0,42.0,,0.25,1.0,1.0,1.0,,34.0,3.0,Plug-in; Computational science; Molecular dynamics; Python (programming language); Computer science,46.0,0.25,34.0,True,context
broad,10.1002/cjoc.202100785,Functional Proteomics Driven by Chemical and Computational Approaches,2022,Chinese Journal of Chemistry,Article,False,closed,4.0,4.0,4.0,,7.0,1.0,1.0,,,13.0,1.0,Chemistry; Proteomics; Posttranslational modification; Scope (computer science); Profiling (computer programming),4.0,7.0,13.0,False,context
broad,10.1002/ckon.202100002,Digitalization and computational thinking in lower secondary science education using the example of paper chromatography,2021,CHEMKON,Article,False,closed,3.0,3.0,,2.0,,,,,,10.0,1.0,Philosophy; Physics,3.0,0.0,10.0,False,exact|context
broad,10.1002/ckon.202100044,Development of a blended learning course for teacher training with digital and analogue content as part of Experimento|10+,2023,CHEMKON,Article,False,closed,3.0,3.0,,2.0,,,,,,8.0,1.0,Siemens; Physics; Humanities; Philosophy; Quantum mechanics,3.0,0.0,8.0,False,exact
broad,10.1002/ckon.202100083,Development of an online application for a blended learning STEM teacher training course,2022,CHEMKON,Article,True,hybrid,2.0,3.0,,1.0,,,,,,9.0,1.0,Umwelt; Humanities; Psychology; Art,2.0,0.0,9.0,True,exact|context
broad,10.1002/ckon.202200058,Glass-Box Molekulardynamische Simulationen zur Vermittlung der van der Waals-WechselwirkungGlass-box molecular dynamics simulation for teaching the van der Waals interaction,2023,CHEMKON,Article,False,closed,0.0,0.0,,0.0,,,,,,0.0,0.0,Physics,0.0,0.0,0.0,False,exact|context
broad,10.1002/ckon.202500016,Vermittlung von Struktur-Eigenschafts-Beziehungen mit maschinellem Lernen,2025,CHEMKON,Article,False,closed,0.0,0.0,,0.0,,,,,,2.0,0.0,,0.0,0.0,2.0,False,exact|context
broad,10.1002/cpe.3288,INSTANCES: Incorporating computational scientific thinking advances into education and science courses,2014,Concurrency and Computation: Practice and Experience,Conference paper,False,closed,4.0,6.0,6.0,,,,,,,29.0,1.0,Computational thinking; Acronym; Mathematics education; Computer science; Curriculum,4.0,0.0,29.0,False,context|concepts
broad,10.1002/curj.70022,Mathematical literacy: Parallels between the PISA mathematics framework and Vietnam's mathematics curriculum,2025,Curriculum Journal,Article,False,closed,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,False,exact|context
broad,10.1002/eng2.70203,Computational Thinking and Academic Performance Across Different Instructional Modalities in Pre-University Courses: A Data-Driven Study,2025,Engineering Reports,Article,True,gold,1.0,0.0,0.0,0.0,1.0,4.0,1.0,,,10.0,1.0,Modalities; Mathematics education; Computer science; Psychology; Data science,1.0,1.0,10.0,True,exact||concepts
broad,10.1002/hbe2.220,Computational participation and the learner-technology pairing in K-12 STEM education,2020,Human Behavior and Emerging Technologies,Article,True,bronze,13.0,11.0,11.0,7.0,1.0,2.0,1.0,,,116.0,11.0,Collaborative learning; Leverage (statistics); Community of practice; Knowledge management; Computer science,13.0,1.0,116.0,True,exact|context
broad,10.1002/hbe2.224,Computational thinking and teacher education: An expert interview study,2021,Human Behavior and Emerging Technologies,Article,False,closed,28.0,32.0,28.0,20.0,4.0,2.0,2.0,,,134.0,7.0,Computational thinking; Mathematics education; Psychology; Pedagogy; Computer science,28.0,4.0,134.0,False,exact|context|concepts
broad,10.1002/ijch.202300055,Richard Lerner's Bioinspiration: Biomolecular Visualization and Modeling at Scripps Research,2023,Israel Journal of Chemistry,Review,True,hybrid,0.0,0.0,0.0,,,,,,,1.0,0.0,Graphics; Docking (animal); Chemistry; Visualization; Computational thinking,0.0,0.0,1.0,True,concepts
broad,10.1002/j.2168-9830.2012.tb00045.x,Conceptual and procedural approaches to mathematics in the engineering curriculum: Student conceptions and performance,2012,Journal of Engineering Education,Article,False,closed,39.0,48.0,36.0,,,,,,,84.0,8.0,Mathematics education; Curriculum; Conceptual framework; Procedural knowledge; Mathematics,39.0,0.0,84.0,False,context
broad,10.1002/jdd.13530,Subject matter changes in the dental curriculum: A scoping review of the last two decades,2024,Journal of Dental Education,Review,True,hybrid,6.0,4.0,4.0,3.0,,,,,,18.0,1.0,Subject matter; Curriculum; Subject (documents); Medical education; Dental education,6.0,0.0,18.0,True,exact
broad,10.1002/jee.20372,The use of engineering model-building activities to elicit computational thinking: A design-based research study,2021,Journal of Engineering Education,Article,False,closed,38.0,43.0,42.0,26.0,2.2,3.0,3.0,3.0,,136.0,13.0,Computational thinking; Computational model; Computer science; Engineering education; Capstone,38.0,2.2,136.0,False,exact|context|concepts
broad,10.1002/jee.20438,Exploring applications of complexity theory in engineering education research: A systematic literature review,2022,Journal of Engineering Education,Article,False,closed,21.0,23.0,27.0,,1.5,4.0,2.0,2.0,,64.0,5.0,Context (archaeology); Process (computing); Mindset; Transdisciplinarity; Categorization,21.0,1.5,64.0,False,context
broad,10.1002/meet.2009.1450460345,Automatic classification of human values: Applying computational thinking to information ethics,2009,Proceedings of the ASIST Annual Meeting,Conference paper,True,bronze,21.0,30.0,22.0,,,,,,,38.0,2.0,Subconscious; Deception; Psychology; Perception; Field (mathematics),21.0,0.0,38.0,True,exact
broad,10.1002/pra2.2016.14505301092,"Computational thinking is critical thinking: Connecting to university discourse, goals, and learning outcomes",2016,Proceedings of the Association for Information Science and Technology,Conference paper,True,bronze,39.0,50.0,41.0,,,,,,,247.0,15.0,Critical thinking; Mathematics education; Sociology; Pedagogy; Epistemology,39.0,0.0,247.0,True,exact|context
broad,10.1002/rev3.70098,"Scientific practices for understanding, applying and creating with artificial intelligence in K-12 education: A scoping review",2025,Review of Education,Review,False,closed,2.0,2.0,2.0,1.0,,,,,,60.0,2.0,Context (archaeology); Scopus; Knowledge management; Computer science; Engineering ethics,2.0,0.0,60.0,False,exact|context
broad,10.1002/sce.21314,Learning progressions in context: Tensions and insights from a semester-long middle school modeling curriculum,2017,Science Education,Article,False,closed,45.0,45.0,49.0,,0.5,1.0,1.0,1.0,,90.0,10.0,Generalizability theory; Context (archaeology); Curriculum; Mathematics education; Diagrammatic reasoning,45.0,0.5,90.0,False,context
